% Model:              n169_R19.5_d38_r7_x3.3_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 8 2023, 09:53
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.251141944655286+9.420209006111444E-5i           2.551057571291678E-31                             49102.148746291015                                0.1731610523468098
9.257199342783178+9.54189206906932E-5i            3.001066889590321E-31                             48507.70642415519                                 0.1731610523468098
9.262645023077514+9.465607900975331E-5i           9.230849081009136E-31                             48927.40274749177                                 0.1731610523468098
9.270568625105941+9.436138012153729E-5i           1.4105486867429599E-31                            49122.192711140364                                0.1731610523468098
9.27523217690057+9.540345060716136E-5i            4.924050217496602E-31                             48610.07693278346                                 0.1731610523468098
9.29216280772543+9.804772124400878E-5i            7.776401009673987E-31                             47385.42379649289                                 0.1731610523468098
9.294203013899184+9.159597447735962E-5i           9.524163383982738E-32                             50734.283402934445                                0.1731610523468098
9.296839827563268+9.234527205679803E-5i           1.6016758711016855E-30                            50336.89354999553                                 0.1731610523468098
9.297880254411982+9.484067465327112E-5i           1.9132573323483806E-30                            49017.92506687523                                 0.1731610523468098
9.302812873411341+9.46671790069242E-5i            4.1694474362417356E-32                            49133.8125474601                                  0.1731610523468098
9.305189940087745+9.352599147646806E-5i           1.3333324452030156E-31                            49746.04850443595                                 0.1731610523468098
9.316679096737648+9.535481441758735E-5i           3.113183661776504E-35                             48852.19591671286                                 0.1731610523468098
9.322307422033429+9.727297752987974E-5i           7.69534785823102E-33                              47917.78106090224                                 0.1731610523468098
9.324291994017806+9.67879802837381E-5i            2.65508782012217E-32                              48168.14797549259                                 0.1731610523468098
9.333492269593064+9.491477281271381E-5i           4.956532967607065E-33                             49167.25440394478                                 0.1731610523468098
9.33419824611045+9.018673512071226E-5i            5.332447673126204E-33                             51748.78682884426                                 0.1731610523468098
9.337069534809553+9.065198397661203E-5i           2.9074755597240205E-34                            51499.033169262206                                0.1731610523468098
9.347597583101502+9.701289633898971E-5i           3.1895205972055065E-33                            48176.58798601733                                 0.1731610523468098
9.354868863510582+9.827000608856385E-5i           5.2347967303805545E-34                            47597.28340072472                                 0.1731610523468098
9.365815170467846+9.468304262817634E-5i           1.3868424729768852E-33                            49458.2781480814                                  0.1731610523468098
9.371155038346249+9.452697897593405E-5i           4.488615938469785E-34                             49568.179532678034                                0.1731610523468098
9.371644734834423+9.466291465138254E-5i           1.7788563292160433E-33                            49499.58557353423                                 0.1731610523468098
9.373821092629417+9.556280739810656E-5i           2.1073415325201057E-34                            49044.84180914928                                 0.1731610523468098
9.375213584133286+9.533266012135476E-5i           3.466639929384767E-34                             49170.54790650396                                 0.1731610523468098
9.382313612705678+9.773774363400632E-5i           5.14926567129897E-34                              47996.892147233404                                0.1731610523468098
9.392941582876373+9.744302981604486E-5i           3.7088197657482155E-35                            48196.5932237249                                  0.1731610523468098
9.416756143109996+9.628735170374097E-5i           1.68122836860699E-34                              48898.73740804944                                 0.1731610523468098
9.420470771178325+9.866582874018577E-5i           1.089024325572223E-34                             47738.77755109932                                 0.1731610523468098
9.42377748644484+9.63878069179295E-5i             2.499633926386056E-35                             48884.19703343275                                 0.1731610523468098
9.43530451516682+9.591662409911636E-5i            3.379789146901221E-33                             49184.42791752074                                 0.1731610523468098
9.436075936147537+9.52194702808475E-5i            6.421415275018335E-34                             49548.58841555004                                 0.1731610523468098
9.43799247647604+9.376259024006096E-5i            6.0712233419972835E-34                            50328.70066624501                                 0.1731610523468098
9.438259651292405+9.419684349111484E-5i           8.203069491770607E-34                             50098.098119331444                                0.1731610523468098
9.441061599826476+9.670178365802657E-5i           1.177506477007159E-34                             48814.84339057038                                 0.1731610523468098
9.446622644525005+9.895528714650336E-5i           5.664761723821386E-33                             47731.27283340864                                 0.1731610523468098
9.479254748799987+9.424221287321552E-5i           3.060563735478587E-32                             50291.476958959494                                0.1731610523468098
9.481238853172721+9.639059522820776E-5i           6.137434191884707E-32                             49180.84622741079                                 0.1731610523468098
9.484104924068802+9.731684583420586E-5i           4.347988609670909E-31                             48727.46904770196                                 0.1731610523468098
9.491063382244324+9.471749909472744E-5i           1.148647574433089E-30                             50101.45021383635                                 0.1731610523468098
9.495405448899067+9.628842165406631E-5i           1.1273338058976267E-29                            49306.595657994774                                0.1731610523468098
9.501884185410796+9.610596606708252E-5i           4.1141793825696195E-30                            49433.90988192298                                 0.1731610523468098
9.5043789038311+9.550772791972969E-5i             7.092133023117971E-28                             49756.615504517235                                0.1731610523468098
9.505092243926498+9.846507171223238E-5i           3.9528887199372666E-28                            48265.81036544908                                 0.1731610523468098
9.512658809614766+2.8107481172730416E-4i          0.44253571624596105                               16921.432175459682                                0.1731610523468098
9.516580765775034+2.800999994126075E-4i           2.8268409755044174E-4                             16987.325182077533                                0.1731610523468098
9.519113611845883+2.7985217172446996E-4i          1.7858271354872718E-4                             17006.8942246134                                  0.1731610523468098
9.522423979178045+2.786571816067677E-4i           0.03625682671196325                               17085.768202275132                                0.1731610523468098
9.524038085778194+2.7860241361319813E-4i          4.7598077302314405E-5                             17092.023739826345                                0.1731610523468098
9.529317736391091+2.7724745439426E-4i             0.012650198783463676                              17185.07926623131                                 0.1731610523468098
9.529439735364681+2.7771870321165236E-4i          0.03716881745600024                               17156.13743951765                                 0.1731610523468098
9.531484034117385+2.766925939793981E-4i           9.882229080282624E-6                              17223.45653968982                                 0.1731610523468098
9.535204224811409+2.7627001942230346E-4i          1.9769345558896452E-5                             17256.534435214136                                0.1731610523468098
9.537286075470059+2.751273641730507E-4i           0.006134182794332853                              17331.989398761692                                0.1731610523468098
9.538462726412803+1.0115360006609668E-4i          7.90635716169837E-28                              47147.900269211226                                0.1731610523468098
