% Model:              n169_R19.5_d38_r7_x7.0_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 29 2024, 14:07
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
8.117583436689902+9.818173787332162E-5i           5.676805326390534E-31                             41339.081742508824                                0.17316109264600985
8.119641258856017+9.741888186708961E-5i           1.973599846956935E-30                             41673.36026993547                                 0.17316109264600985
8.126560792712702+9.49010080617099E-5i            3.426709492161923E-31                             42815.48966606112                                 0.17316109264600985
8.127210039668082+9.875186596274238E-5i           5.93971511653222E-31                              41149.1548400437                                  0.17316109264600985
8.139766361647318+9.602425211199437E-5i           3.2769292267605867E-31                            42383.41024169381                                 0.17316109264600985
8.147340250125792+9.615774251644969E-5i           3.054910800464304E-31                             42363.953309226476                                0.17316109264600985
8.150829081336331+9.824509681583034E-5i           2.1972816937797484E-31                            41481.616952735116                                0.17316109264600985
8.155381763734708+9.702075777440407E-5i           4.659593330064794E-36                             42028.55663694923                                 0.17316109264600985
8.166644567209701+1.007066742203998E-4i           1.2843992603759029E-33                            40546.19000654784                                 0.17316109264600985
8.167920957318497+9.517734430786217E-5i           6.926715436610506E-34                             42908.456160677626                                0.17316109264600985
8.169422571750868+1.0184008060292946E-4i          3.6114701861522883E-35                            40108.57371100577                                 0.17316109264600985
8.171982015069178+9.304573052749115E-5i           2.627448464378805E-37                             43913.29373353222                                 0.17316109264600985
8.184313026110317+1.0068940286453398E-4i          1.0457987540675164E-33                            40640.882300259786                                0.17316109264600985
8.189702290061769+9.983256218678599E-5i           4.526830843319302E-34                             41016.6897464863                                  0.17316109264600985
8.197684359173232+9.822685699096383E-5i           6.351374285519282E-36                             41727.82467322975                                 0.17316109264600985
8.200339051224057+1.0107735609897594E-4i          3.2327856124502514E-37                            40564.16932342311                                 0.17316109264600985
8.210324943898815+1.0296244710470536E-4i          9.24191165679518E-34                              39869.98275880801                                 0.17316109264600985
8.212355010807212+1.0205493001401512E-4i          1.2362219579470107E-35                            40234.47448434629                                 0.17316109264600985
8.215529420347472+9.966707310689225E-5i           9.722002305085428E-34                             41214.36245104367                                 0.17316109264600985
8.219575604011848+1.0346516160542602E-4i          7.4000805279395476E-34                            39720.96503608215                                 0.17316109264600985
8.223325740457117+1.0139420105843163E-4i          6.452322069869739E-34                             40550.76251759007                                 0.17316109264600985
8.226209132786787+1.0077012552579523E-4i          2.5628032327803803E-33                            40816.20571530066                                 0.17316109264600985
8.228148275750833+9.007120967077835E-5i           5.866697140994454E-35                             45675.29521655294                                 0.17316109264600985
8.233519902740564+9.727141223543265E-5i           5.113395173131343E-32                             42321.903259345054                                0.17316109264600985
8.235024635751556+1.032945223680515E-4i           2.0808434233570669E-32                            39861.36492726788                                 0.17316109264600985
8.235723259914856+9.657649761995897E-5i           1.2156875374205549E-30                            42637.84070042587                                 0.17316109264600985
8.24063207039366+1.0205733752013044E-4i           3.332508089348906E-32                             40372.06021503437                                 0.17316109264600985
8.24241572554044+1.029144001115674E-4i            3.835047268294306E-30                             40044.50656055653                                 0.17316109264600985
8.244019869784603+1.0142221545193249E-4i          2.4182976292549012E-30                            40641.580999921454                                0.17316109264600985
8.244555889570218+1.021687950740604E-4i           3.831545603301121E-29                             40347.219683173775                                0.17316109264600985
8.247570918879838+1.0130201124991132E-4i          3.504712205247588E-26                             40707.3335250416                                  0.17316109264600985
8.247805736948141+2.0138872067386446E-4i          0.4193636217751876                                20476.82765647829                                 0.17316109264600985
8.25031734310542+2.0066121914997777E-4i           6.975127906753368E-5                              20557.326926401365                                0.17316109264600985
8.252935417956852+1.0425646671761082E-4i          7.374744453850816E-28                             39579.46822911837                                 0.17316109264600985
8.253260502625674+2.0013856738774826E-4i          4.888301723097065E-5                              20618.36540239391                                 0.17316109264600985
8.254174728241514+1.9958580908100562E-4i          0.038634051287198504                              20677.76019742594                                 0.17316109264600985
8.256380672827657+1.992441563561182E-4i           4.030862550317078E-5                              20718.75385526749                                 0.17316109264600985
8.258952094905638+1.9834527728785633E-4i          3.678360923838833E-5                              20819.133369719446                                0.17316109264600985
8.261253306775943+1.9787806929356656E-4i          2.561695113228775E-6                              20874.105067497785                                0.17316109264600985
8.261951939035086+1.9818862172098792E-4i          0.0362087840547052                                20843.15804943237                                 0.17316109264600985
8.26442503779757+9.684449721278337E-5i            2.96972764046044E-25                              42668.0306204189                                  0.17316109264600985
8.264463945198429+1.9692470173425094E-4i          0.01504504543746567                               20983.31672306268                                 0.17316109264600985
8.265440926102414+1.971917254970061E-4i           1.538962920447665E-5                              20957.379057556835                                0.17316109264600985
8.267253163586728+1.9627313582199724E-4i          4.607878067308474E-6                              21060.081848650516                                0.17316109264600985
8.268700559670274+1.0245251424884438E-4i          7.7684917395282E-30                               40353.31815236635                                 0.17316109264600985
8.27063103140323+1.952341303442814E-4i            2.2997444299275827E-6                             21180.813665718706                                0.17316109264600985
8.270973573873905+1.955988478941298E-4i           0.011801894726817837                              21142.19417451731                                 0.17316109264600985
8.271861792637571+1.0004719134277166E-4i          2.9861592269946963E-28                            41339.29843307259                                 0.17316109264600985
8.273098701146505+1.952038831920149E-4i           2.0546156837341674E-7                             21190.41640220072                                 0.17316109264600985
