% Model:              n169_R19.5_d36_r7_x0_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 8 2023, 10:49
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
8.513187536391664+5.159817416265489E-5i           5.810895585438089E-30                             82494.55168962656                                 0.16190037798968804
8.51367903226391+5.145596278761553E-5i            1.3577323294468364E-30                            82727.32311840262                                 0.16190037798968804
8.520067502173692+5.7792811251123704E-5i          4.526996568604668E-31                             73711.67759789605                                 0.16190037798968804
8.5769213556793+3.6876830851016474E-4i            0.5883300621109481                                11628.646517589508                                0.16190037798968804
8.590440061645184+3.6730126776117445E-4i          4.0202737217725386E-4                             11693.497315011964                                0.16190037798968804
8.590895568406362+3.6737713094436684E-4i          2.835258683853482E-4                              11691.702454994725                                0.16190037798968804
8.608423696389323+3.6538606074065886E-4i          8.631978920172558E-5                              11779.401638666284                                0.16190037798968804
8.608962364322107+3.6576966433795796E-4i          2.606798987789749E-5                              11767.783729549212                                0.16190037798968804
8.61530575482568+3.6512725615287444E-4i           0.11161485437491792                               11797.175497897719                                0.16190037798968804
8.62787289322482+3.6384671406196117E-4i           1.3735525018687835E-4                             11855.966687922555                                0.16190037798968804
8.633659579157476+3.6291706569097765E-4i          2.759862598468767E-6                              11894.310656996644                                0.16190037798968804
8.643101177961332+3.6203593117638705E-4i          6.861325442515328E-6                              11936.300161985913                                0.16190037798968804
8.643259448980494+3.6218641882910824E-4i          4.880860931103512E-6                              11931.558940854931                                0.16190037798968804
8.65545500308267+3.6085091110119364E-4i           2.899677632958743E-6                              11992.617663101306                                0.16190037798968804
8.655645431884997+3.6094415888010225E-4i          3.8339234805197604E-5                             11989.783102940008                                0.16190037798968804
8.676625610017254+3.5853300053149473E-4i          3.816673371951251E-5                              12099.676384559432                                0.16190037798968804
8.676735652816957+3.586180823183685E-4i           1.398892748150715E-4                              12096.959275007424                                0.16190037798968804
8.680037076115656+3.585420274413687E-4i           0.04639416917068627                               12104.12892543255                                 0.16190037798968804
8.684953151818197+3.5785586685612016E-4i          3.717812240330484E-6                              12134.211901242938                                0.16190037798968804
8.68550990295317+3.5801516031916733E-4i           7.133976076485257E-10                             12129.596442586788                                0.16190037798968804
