% Model:              n169_R19.5_d37_r7_x0_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 29 2024, 18:05
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.305163916833026+7.856249151004283E-5i           1.2871191059414905E-23                            59220.916049301304                                0.1682364247115078
9.318346154525361+3.712683214656988E-4i           0.581034168802193                                 12548.841880833974                                0.1682364247115078
9.324147095341118+8.258289088043585E-5i           4.59144768802139E-28                              56452.761740318536                                0.1682364247115078
9.324356206636116+8.256646844957282E-5i           7.71476369121487E-28                              56465.25658615531                                 0.1682364247115078
9.330134871252705+3.702643340798614E-4i           2.3267810476741868E-5                             12598.789254279798                                0.1682364247115078
9.330537470745362+3.705557063349902E-4i           1.594990491994939E-5                              12589.425523896507                                0.1682364247115078
9.345656530385186+3.691323429333717E-4i           8.022077794395401E-5                              12658.451083424217                                0.1682364247115078
9.345918137397126+3.692667134773518E-4i           7.423425996814253E-5                              12654.198908562234                                0.1682364247115078
9.351027141855727+3.6866166692443083E-4i          0.11534547019083154                               12681.896890350772                                0.1682364247115078
9.354140450558402+8.015509052185727E-5i           8.167654305822516E-30                             58349.758170141286                                0.1682364247115078
9.354333133730368+8.015036979060864E-5i           1.4903189839948973E-30                            58354.39691937938                                 0.1682364247115078
9.362004158774495+3.678739201190553E-4i           3.2099887436661445E-6                             12723.973875250618                                0.1682364247115078
9.367503602361117+3.6755513532024805E-4i          5.683912695520843E-6                              12742.491067926556                                0.1682364247115078
9.369139433552608+8.23606948193574E-5i            7.129371502361601E-30                             56878.205611646816                                0.1682364247115078
9.369408803383894+8.234169895204403E-5i           2.0836375032102326E-30                            56892.96296015898                                 0.1682364247115078
9.375061711116091+3.666386380456278E-4i           4.673589961156848E-7                              12784.652382864067                                0.1682364247115078
9.37539189188523+3.6687513736670754E-4i           9.941141426176113E-7                              12776.860659180085                                0.1682364247115078
9.385898238266279+3.659353652416981E-4i           2.7984571127887023E-6                             12824.030108313174                                0.1682364247115078
9.38621329595507+3.661167539423124E-4i            1.2211752488120411E-5                             12818.106597777207                                0.1682364247115078
9.390210385447693+7.596268772670855E-5i           6.715918301302941E-29                             61807.54432003434                                 0.1682364247115078
