% Model:              n169_R19.5_d37.75_r7_x0_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 8 2023, 10:49
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.896897023669366+8.81829385791792E-5i            5.662794293698966E-31                             56115.217326108934                                0.17208764241190994
9.897223988106697+8.819330846275488E-5i           1.3759357008151648E-31                            56110.47281071193                                 0.17208764241190994
9.898241976963922+8.817090909499812E-5i           9.45731371031828E-32                              56130.500218898036                                0.17208764241190994
9.990535065482847+1.2888095734889027E-4i          3.5470833763825614E-36                            38758.2711680999                                  0.17208764241190994
10.011650624904085+1.2951643154893405E-4i         1.590724788136272E-34                             38649.61761768201                                 0.17208764241190994
10.011678074024296+1.2951568939375462E-4i         3.8222549070690837E-36                            38649.945059738915                                0.17208764241190994
10.041322973055335+1.3002421646889317E-4i         7.827575620164232E-32                             38612.77990616                                    0.17208764241190994
10.041327817485648+1.3002388252193885E-4i         1.8697433680685648E-31                            38612.89770748512                                 0.17208764241190994
10.059412998070899+1.291180917493446E-4i          1.111945939619694E-29                             38953.81202383743                                 0.17208764241190994
10.069928488189921+1.307321795208498E-4i          4.335491167121363E-31                             38513.07910486067                                 0.17208764241190994
10.08841757516376+3.965960267965135E-4i           0.5831343801524839                                12718.257213684437                                0.17208764241190994
10.090859510779177+1.298051547648158E-4i          1.6023380695847114E-27                            38868.7539233064                                  0.17208764241190994
10.098912885178766+3.957791382472655E-4i          4.97761055799529E-7                               12757.767570836146                                0.17208764241190994
10.099001141279798+3.958455127733896E-4i          7.703145420816195E-7                              12755.739767816545                                0.17208764241190994
10.11266122653111+3.947992721152233E-4i           1.2712607895056978E-9                             12806.844262448716                                0.17208764241190994
10.112681127015518+3.9480528554707034E-4i         9.370502824810293E-7                              12806.6743469216                                  0.17208764241190994
10.115306269719223+1.2894795760532644E-4i         1.1338631913160154E-18                            39221.93483316204                                 0.17208764241190994
10.115427729844505+1.2894410492558372E-4i         8.794937575931594E-18                             39223.56816029077                                 0.17208764241190994
10.117493468060784+3.944562538340355E-4i          0.11312053648232222                               12824.106752413565                                0.17208764241190994
10.1236620233762+1.3050441792363904E-4i           9.922892270316338E-15                             38786.18114937411                                 0.17208764241190994
