% Model:              n169_R19.5_d38.25_r7_x0_y0_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 29 2024, 18:14
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
10.76114935166029+1.3750512259104426E-4i          5.052422995588794E-31                             39129.49439945998                                 0.17410923163583408
10.761185822286807+1.375001627158674E-4i          3.2315754218460556E-31                            39131.03850814396                                 0.17410923163583408
10.764845085823515+1.375328711074818E-4i          2.8680947630667213E-28                            39135.03538496755                                 0.17410923163583408
10.764948271777026+4.111678143188494E-4i          0.582183563629119                                 13090.199116813286                                0.17410923163583408
10.765700564200342+1.3680721481231956E-4i         1.819863110079956E-29                             39345.74566670173                                 0.17410923163583408
10.765798752680697+1.3685976167694035E-4i         4.3004324540175394E-30                            39330.99752168971                                 0.17410923163583408
10.768838467600654+1.375713101843747E-4i          1.278124285704501E-32                             39138.614307158074                                0.17410923163583408
10.771367868772128+1.3772904477984252E-4i         9.953165424455013E-34                             39102.97264722145                                 0.17410923163583408
10.774036907523948+4.102510454212989E-4i          1.1748131408827753E-4                             13130.52921168067                                 0.17410923163583408
10.774173609090933+4.1033856831977254E-4i         1.1145088534688932E-4                             13127.895009011418                                0.17410923163583408
10.774324539851971+1.3765534840180102E-4i         1.742594535849917E-30                             39134.64682377908                                 0.17410923163583408
10.774507771140218+1.376465842547341E-4i          2.6393682145428293E-30                            39137.80419827436                                 0.17410923163583408
10.777659379734304+1.372923621165365E-4i          1.2037787939067767E-30                            39250.260985807305                                0.17410923163583408
10.777848023648048+1.3728555870238997E-4i         5.990961268096623E-32                             39252.89317182465                                 0.17410923163583408
10.784822047928467+1.357427544359711E-4i          2.7769783665090176E-25                            39724.72176847259                                 0.17410923163583408
10.784840148871167+1.3572358685982539E-4i         5.3182213617652485E-25                            39730.398652152195                                0.17410923163583408
10.785386392418483+1.3727347516844906E-4i         3.166269875694088E-22                             39283.80566273134                                 0.17410923163583408
10.78546021860536+1.3727576012231965E-4i          2.8089469496689626E-22                            39283.42104916082                                 0.17410923163583408
10.785983811850521+4.091224568552399E-4i          1.0485272452812071E-5                             13181.352532678007                                0.17410923163583408
10.786188771989519+4.0926575442920814E-4i         3.843748103933895E-6                              13176.987574058252                                0.17410923163583408
