% Model:              n169_R19.5_d38.75_r7.00_rerrormax0.06_x0_y0_rev3.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2024, 13:41
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
11.457985321803871+1.0833959317791295E-4i         1.928727062872933E-32                             52879.454126403056                                0.17550967396655232
11.49593158556027+1.0773523678611013E-4i          1.2331464480192999E-31                            53352.20026790236                                 0.17550967396655232
11.496518586364312+1.0771434822912279E-4i         5.031017561417809E-31                             53365.271516944944                                0.17550967396655232
11.51237722647453+3.4921530750109197E-4i          0.2831146522912296                                16482.708195576204                                0.17550967396655232
11.517371864923673+3.4946802758685817E-4i         0.18120745083577033                               16477.93431495125                                 0.17550967396655232
11.522192789382053+3.488660264744299E-4i          0.039648626932931814                              16513.27882274475                                 0.17550967396655232
11.52606199314465+3.4696342440680814E-4i          0.002153665840862134                              16609.409276708415                                0.17550967396655232
11.529253512253057+3.4749389629205245E-4i         1.041069008726022E-5                              16588.645371092334                                0.17550967396655232
11.531400941138724+3.4665255090444085E-4i         0.04326121669355876                               16632.00554584596                                 0.17550967396655232
11.535125467064741+3.4505187171785727E-4i         0.002233515663729881                              16714.559996948614                                0.17550967396655232
11.53991243803209+3.46092063966946E-4i            0.055986672485363716                              16671.238022870402                                0.17550967396655232
11.540978826830074+3.4444895143670976E-4i         0.0030136520985290798                             16752.31458168814                                 0.17550967396655232
11.544018455496433+3.4531854018591364E-4i         0.030698205927267744                              16714.5284673536                                  0.17550967396655232
11.545217212641647+3.4401489194002825E-4i         0.005967410475560064                              16779.612555489548                                0.17550967396655232
11.54961902171193+3.434590828336995E-4i           0.003059539590151778                              16813.175335037773                                0.17550967396655232
11.550195355209414+1.0671127322762451E-4i         3.0197092788615836E-28                            54118.40887324982                                 0.17550967396655232
11.55270318727357+3.408554084519494E-4i           0.020778682402685142                              16946.13322613015                                 0.17550967396655232
11.554080587831697+3.4152090700001464E-4i         0.0073148798718357545                             16915.127040567142                                0.17550967396655232
11.556415206917654+3.416091012956318E-4i          9.845241826731794E-4                              16914.17696530719                                 0.17550967396655232
11.559976890737557+3.4036252756656463E-4i         0.006960325515824541                              16981.358949883095                                0.17550967396655232
11.562521979860096+1.0781477579738843E-4i         1.0081515555878208E-28                            53621.65827498995                                 0.17550967396655232
11.562925771803595+3.4007880164468234E-4i         0.006267271595180372                              16999.862398032754                                0.17550967396655232
11.563045166436876+1.079982543808141E-4i          8.885884019938838E-29                             53532.98161003308                                 0.17550967396655232
11.563284738175097+1.0794906951613E-4i            1.8942701634138216E-28                            53558.482734087054                                0.17550967396655232
11.565370028228253+3.3920145130417076E-4i         0.0068645781233886895                             17047.437072165983                                0.17550967396655232
11.56767937175893+3.379210383596241E-4i           9.576121446433401E-4                              17115.45020198889                                 0.17550967396655232
11.56956645655379+3.3865995343988347E-4i          7.664039960093539E-4                              17080.891363911458                                0.17550967396655232
11.57340411662628+3.38027218581802E-4i            2.6240857106249726E-4                             17118.54162927887                                 0.17550967396655232
11.574830335004874+3.373161822527144E-4i          0.0022378626842909093                             17156.74129884679                                 0.17550967396655232
11.575841361141304+3.372834707347474E-4i          8.40930294116464E-5                               17159.904069497756                                0.17550967396655232
11.57637578386906+1.0722471883904055E-4i          7.116367152615737E-30                             53981.34217881351                                 0.17550967396655232
11.576930784984768+1.0942865424804189E-4i         4.3808709433698344E-30                            52896.66289689806                                 0.17550967396655232
11.577134089864373+1.0950275236394524E-4i         7.043613836058407E-30                             52861.796849276485                                0.17550967396655232
11.578719631209793+3.3568256542751765E-4i         1.6664934849059982E-4                             17246.031003606287                                0.17550967396655232
11.580644404586172+3.3458785783086696E-4i         2.0263179400332207E-4                             17305.334680671964                                0.17550967396655232
11.584040172991942+3.353907883973274E-4i          0.004708561994754545                              17268.966631040526                                0.17550967396655232
11.584671453291984+3.3233650920618457E-4i         0.02062471872924509                               17428.628327270155                                0.17550967396655232
11.586522911536298+1.0862471021973862E-4i         6.446202112822839E-27                             53332.31326920599                                 0.17550967396655232
11.587764701692787+1.0867842395001781E-4i         1.711860758657466E-25                             53311.66691837273                                 0.17550967396655232
11.589077853780225+3.328590757458889E-4i          0.002641984422045553                              17407.884734759322                                0.17550967396655232
