% Model:              n169_d38.75_R19.5_r7_rmaxerror0.00_external_axion_field_eigenvalues.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 27 2024, 16:25
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             A (m^2)                                           Q (1)                                             Q_alt (rad)                                       Ploss (W/m)                                       Pexp (W/m)                                        Pohmic (W/m)
11.423407623436786+1.0600602956334103E-4i         2.1458691945164207E-31                            0.17553120425072413                               53253.24809033085                                 53880.43433687136                                 0.5747765923071                                   4.12839177211862E-51                              4.4872656757069457E-26
11.433222647206746+1.0544182205814398E-4i         1.946696397346329E-32                             0.17553120425072413                               53598.73484973759                                 54215.28727171604                                 0.5709293428821774                                3.772743741319581E-52                             8.588632828899476E-27
11.433442157130557+1.054364900700686E-4i          1.2299776617108144E-31                            0.17553120425072413                               53597.68479649163                                 54219.06994823059                                 0.5716422169975518                                2.3837249157626508E-51                            3.846454061561126E-28
11.439437004749074+1.0588027775382605E-4i         1.099826241952641E-31                             0.17553120425072413                               53397.90297051089                                 54020.122883134725                                0.5728966446830291                                2.1246569255546822E-51                            2.3696165697417233E-26
11.439547024482883+1.0588244670159757E-4i         2.823798834733165E-34                             0.17553120425072413                               53397.72527768816                                 54019.53583085762                                 0.5723558515747039                                5.455081228540736E-54                             4.461089547838582E-29
11.446285911287422+1.0826901199474698E-4i         8.135937622794023E-32                             0.17553120425072413                               52224.75011823789                                 52859.89733257621                                 0.5846870111955876                                1.5380995788641836E-51                            1.576897154888068E-27
11.446459730486279+1.0818550464063671E-4i         1.6874894706007785E-32                            0.17553120425072413                               52267.30705650595                                 52901.503100815644                                0.585778995358782                                 3.1928481460447646E-52                            2.9328389310970117E-27
11.449224442848818+1.085821278881861E-4i          7.65084262866092E-32                              0.17553120425072413                               52082.534626696586                                52720.99629124798                                 0.5875197075815887                                1.442823914058709E-51                             1.0055075199405553E-26
11.45800371422667+1.0837943305459425E-4i          4.33622805466088E-32                              0.17553120425072413                               52222.18056673044                                 52860.10014859263                                 0.5871541851055122                                8.205630528670248E-52                             2.166317968959327E-26
11.496220662860315+1.0773741415822481E-4i         1.1720101710914362E-32                            0.17553120425072413                               52722.265458770395                                53352.46356285895                                 0.583536527692115                                 2.2465517023633328E-52                            8.826891813278813E-27
11.496519185516735+1.0774061735010681E-4i         4.510293332983175E-34                             0.17553120425072413                               52720.34660041321                                 53352.262724314714                                0.5824017188861789                                8.645404056294342E-54                             1.5815101187254718E-27
11.519876668641913+3.525186841768531E-4i          0.5676524585679591                                0.17553120425072413                               22230.19862684584                                 16338.884538472641                                9.174410408439344E-6                              4.5973712803556325E-21                            8.783572370449658E-19
11.525079242596483+3.512508244070805E-4i          1.8758048236088243E-6                             0.17553120425072413                               22259.47683323182                                 16405.268249789533                                9.183979973022945E-6                              1.521886988036265E-26                             3.371247827517385E-18
11.525085828221568+3.512496160771636E-4i          7.125576683541851E-5                              0.17553120425072413                               22260.305827391654                                16405.334061646594                                9.148990247190707E-6                              5.781375740608599E-25                             4.1439718387520457E-19
11.531797240961659+3.4957700290533657E-4i         5.760522184191432E-7                              0.17553120425072413                               22298.634121755767                                16493.430006887946                                9.164462518037019E-6                              4.6846051924126544E-27                            2.959019793528634E-20
11.531836645524143+3.495996269737524E-4i          5.475017904829077E-6                              0.17553120425072413                               22298.011766489064                                16492.41897163311                                 9.154643354228623E-6                              4.452316696249418E-26                             1.8445281863479685E-19
11.534149727040004+3.4899456519695053E-4i         0.11399395974489587                               0.17553120425072413                               22311.47385266978                                 16524.327129765807                                9.161583804294398E-6                              9.277512902580236E-22                             4.022123189365717E-19
11.53892225401777+3.478406121557321E-4i           5.709278755822038E-7                              0.17553120425072413                               22339.317718785893                                16586.00806241088                                 9.14606349569412E-6                               4.654277598340041E-27                             1.1140229347077585E-19
11.54117563984995+3.472162320689392E-4i           2.7339958784336437E-6                             0.17553120425072413                               22350.80818262183                                 16619.079602777667                                9.149672341587374E-6                              2.2303705393332923E-26                            1.0206108944760938E-19
11.544629846492436+3.4636211046713437E-4i         4.0274349798317173E-8                             0.17553120425072413                               22369.865607683987                                16665.049529008706                                9.116263205119779E-6                              3.2893327425329136E-28                            3.964402729813075E-20
11.544663100501356+3.463920336380161E-4i          2.019695987177792E-7                              0.17553120425072413                               22370.2661280002                                  16663.65787134261                                 9.128196603615701E-6                              1.6495834837557513E-27                            1.5736396611861732E-19
11.549247726727794+3.4518080102111505E-4i         3.134050893764975E-7                              0.17553120425072413                               22396.83540675506                                 16728.772956790053                                9.13143157841301E-6                               2.563789016011363E-27                             4.846498955923931E-20
11.549293969729064+3.452110907925297E-4i          5.585123736825868E-7                              0.17553120425072413                               22397.722259766753                                16727.37206195719                                 9.126574938008156E-6                              4.5690716924072564E-27                            9.844418661446371E-20
11.550104346762522+1.0671379821150519E-4i         2.3652516825368736E-29                            0.17553120425072413                               53503.47010233843                                 54116.70172001938                                 0.5769786637916007                                4.6225444996949624E-49                            4.66573760891207E-25
11.557171025599196+3.43182838202751E-4i           1.233446512466922E-6                              0.17553120425072413                               22441.74597735768                                 16837.71225805581                                 9.081520188628177E-6                              1.0117294369208157E-26                            8.346105834306092E-19
11.557199737763188+3.431996643180193E-4i          2.3119884065192712E-5                             0.17553120425072413                               22441.136666365925                                16836.928557746352                                9.104692804685217E-6                              1.8963522191648332E-25                            1.5446291205343097E-19
11.558332551434436+3.4289805799219103E-4i         0.049139491329286                                 0.17553120425072413                               22447.93080199816                                 16853.390240594996                                9.103027367840062E-6                              4.0321626247095694E-22                            2.6457425057415783E-19
11.560225117864674+3.4234692656546E-4i            6.1241229547927004E-6                             0.17553120425072413                               22459.20855459516                                 16883.286775988825                                9.102234296714881E-6                              5.0285239561443725E-26                            3.369546853985881E-20
11.56030349955951+3.4238141333391056E-4i          4.661279392748377E-6                              0.17553120425072413                               22461.787101577695                                16881.70060167875                                 9.114616871173462E-6                              3.827846907631242E-26                             2.0980100818551256E-19
11.562470733041762+1.078312708586075E-4i          1.726680452047111E-29                             0.17553120425072413                               52991.12500201304                                 53613.21764541596                                 0.582084308547507                                 3.345812821379056E-49                             3.82141810384798E-25
11.562930914140278+1.0797538264475876E-4i         1.9437116914099245E-30                            0.17553120425072413                               52922.87950873947                                 53543.79182975595                                 0.5843719235460838                                3.761656425266333E-50                             9.799960708290956E-26
11.563240173671957+1.0797328491459878E-4i         1.2093545218623347E-30                            0.17553120425072413                               52921.220562969895                                53546.264200655096                                0.583382640691115                                 2.340447554271073E-50                             6.348212059849611E-26
11.567486421421796+3.405417929910119E-4i          2.918241429398174E-7                              0.17553120425072413                               22501.25315230022                                 16983.445175309116                                9.064267003640458E-6                              2.402164836853373E-27                             2.3007279664034123E-19
11.572171779659438+3.3926028748887946E-4i         1.2983000150632742E-4                             0.17553120425072413                               22530.669993061736                                17054.504721091027                                9.086326245626696E-6                              1.0705326640396884E-24                            1.8532825452091526E-20
11.572866000535512+3.3901105857685415E-4i         2.1754812861516396E-9                             0.17553120425072413                               22529.24880210065                                 17068.066839432708                                9.067364480226631E-6                              1.7938200342045E-29                               1.1613990750145101E-20
11.572947516886146+3.3899425990115237E-4i         2.8618953172472106E-7                             0.17553120425072413                               22531.728312269443                                17069.032894678177                                9.078407269534417E-6                              2.3600875620304115E-27                            1.2030643630094556E-20
11.573813557516242+3.387349710762788E-4i          9.798696005330882E-7                              0.17553120425072413                               22536.019960490765                                17083.377312927394                                9.053835896993915E-6                              8.082726202699558E-27                             3.330258061563963E-20
11.573865600597287+3.387675446445733E-4i          5.611744450084419E-8                              0.17553120425072413                               22537.02086250432                                 17081.811456002888                                9.074249479540931E-6                              4.629229477652609E-28                             6.166175678130253E-20
11.576705784115155+1.0709991328500223E-4i         2.830712498216406E-31                             0.17553120425072413                               53432.21355857717                                 54045.78825591584                                 0.5780522449749039                                5.537577372138183E-51                             5.654420531612577E-26
11.577152274066565+1.0953047989889528E-4i         3.2941202206608894E-31                            0.17553120425072413                               52216.38612395581                                 52848.49722906913                                 0.5920838760168391                                6.297727780140467E-51                             4.4414271040450654E-26
11.577194621932403+1.0952725264259762E-4i         7.286557022155973E-32                             0.17553120425072413                               52220.10113176931                                 52850.247763712076                                0.591703598728347                                 1.3931545357472673E-51                            2.240192662161276E-26
