% Model:              n169_d38.75_R19.5_r7_rmaxerror0.015_external_axion_field_low_frequency_extension.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 9 2024, 09:31
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)             C (1)                    A (m^2)                  Q (1)                    Q_alt (rad)              Ploss (W/m)              Pexp (W/m)               Pohmic (W/m)
11.48                    0.7535399011184749       0.1755305731509165       22122.362811751467       16236.314219894226       2.209571575270648E-25    6.052209788382495E-21    2.9994666398088277E-25
11.481                   0.7523218462461106       0.1755305731509165       22125.067683694237       16239.029573092943       2.3199131161600647E-25   6.0436919392704735E-21   3.149404319962872E-25
11.482000000000001       0.7510599973362471       0.1755305731509165       22127.775570739286       16241.74159249864        2.438873861140042E-25    6.034819055986911E-21    3.3110593001307433E-25
11.483                   0.7497517248025334       0.1755305731509165       22130.48652135794        16244.450205591755       2.5673848230804306E-25   6.0255697926977995E-21   3.485697529055404E-25
11.484                   0.7483941722241253       0.1755305731509165       22133.20058663425        16247.155338871047       2.7065070606835364E-25   6.0159209627298086E-21   3.6747618104830444E-25
11.485000000000001       0.7469842307184813       0.1755305731509165       22135.91782061797        16249.856918256573       2.85745420458545E-25     6.0058473306579035E-21   3.8799024401580455E-25
11.486                   0.7455185097323916       0.1755305731509165       22138.63828074299        16252.554869620732       3.0216196859659206E-25   5.995321375339827E-21    4.103014238930218E-25
11.487                   0.7439933036540474       0.1755305731509165       22141.362028325824       16255.249119480248       3.2006098266973293E-25   5.984313019054095E-21    4.346281558494117E-25
11.488000000000001       0.7424045535331779       0.1755305731509165       22144.089129160286       16257.939595890623       3.3962842822097687E-25   5.972789316958708E-21    4.612233288079852E-25
11.489                   0.740747803054486        0.1755305731509165       22146.819654231465       16260.626229595846       3.610805769739543E-25    5.960714099938618E-21    4.903810490953225E-25
11.49                    0.739018147736057        0.1755305731509165       22149.55368057416        16263.3089554993         3.8467016064364066E-25   5.94804756250151E-21     5.224450104593006E-25
11.491000000000001       0.737210176110128        0.1755305731509165       22152.29129230983        16265.98771454122        4.1069403823319347E-25   5.934745785644263E-21    5.578189227340981E-25
11.492                   0.7353179013784157       0.1755305731509165       22155.03258190446        16268.662456089776       4.395028186293212E-25    5.920760182461688E-21    5.96979600125993E-25
11.493                   0.7333346817041606       0.1755305731509165       22157.777651699642       16271.333140984583       4.715130311120904E-25    5.9060368515922815E-21   6.404935152274927E-25
11.494000000000002       0.7312531268906264       0.1755305731509165       22160.526615784656       16273.999745409212       5.072226466915212E-25    5.890515820251306E-21    6.890379109293018E-25
11.495000000000001       0.7290649886767703       0.1755305731509165       22163.279602295162       16276.662265822668       5.472310498854466E-25    5.8741301543921726E-21   7.434279659988183E-25
11.496                   0.726761031225475        0.1755305731509165       22166.03675624851        16279.320725245945       5.9226498439079035E-25   5.85680490822243E-21     8.046520866354122E-25
11.497                   0.724330877546172        0.1755305731509165       22168.79824305784        16281.975181291109       6.432126097134125E-25    5.838455878540567E-21    8.73918231006238E-25
11.498000000000001       0.7217628265278474       0.1755305731509165       22171.564252908203       16284.625736438518       7.011687071149227E-25    5.818988120715612E-21    9.527153997924857E-25
11.499                   0.7190436338863141       0.1755305731509165       22174.335006234942       16287.272551230695       7.674954178965572E-25    5.7982941720037486E-21   1.0428962549197518E-24
11.5                     0.7161582485521031       0.1755305731509165       22177.110760620177       16289.915861264757       8.439049374782226E-25    5.7762519134801635E-21   1.1467896042609687E-24
