% Model:              n169_d38.75_R19.5_r7_rmaxerror0.06_external_axion_field_eigenvalues.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2024, 15:45
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             A (m^2)                                           Q (1)                                             Q_alt (rad)                                       Ploss (W/m)                                       Pexp (W/m)                                        Pohmic (W/m)
11.422909021958501+1.0599954671002458E-4i         7.049311378580542E-32                             0.17553450930077527                               53258.652926081144                                53881.377768221326                                0.5770285060148963                                1.3563058959659895E-51                            7.791345545468316E-28
11.433309315978603+1.0542998877716401E-4i         6.615357696368308E-32                             0.17553450930077527                               53605.11047832248                                 54221.783380191104                                0.5732234261396831                                1.2822583620699361E-51                            2.2619018152685222E-26
11.433436277826832+1.0545906747237676E-4i         1.8901540401445003E-31                            0.17553450930077527                               53588.241653546735                                54207.43437493521                                 0.5729885700307356                                3.6625835581754235E-51                            3.9971226301212364E-26
11.439413504945836+1.0589281577151819E-4i         6.391351102557692E-32                             0.17553450930077527                               53389.777847177975                                54013.61572242044                                 0.5744776247687479                                1.2345213588087122E-51                            1.7863034644294406E-26
11.440485392501202+1.0590078364520729E-4i         3.3200066984593836E-32                            0.17553450930077527                               53392.05308248974                                 54014.61253618967                                 0.5752910338704726                                6.4136328015714265E-52                            1.2897079818445105E-26
11.445650476816116+1.0824824123964531E-4i         4.505078363293214E-32                             0.17553450930077527                               52232.73310479867                                 52867.105155208315                                0.5872033617497481                                8.517843178163505E-52                             9.974466538131093E-27
11.446738970754215+1.081776444105573E-4i          3.1777236509689624E-31                            0.17553450930077527                               52273.55859631424                                 52906.63763016132                                 0.5871443513273923                                6.013454534532475E-51                             4.5327983106973543E-26
11.448770687234116+1.0859176097177931E-4i         7.520955520121857E-32                             0.17553450930077527                               52077.897540377424                                52714.230146020804                                0.5896049801662845                                1.418173544726824E-51                             2.203833867496377E-26
11.458888967409665+1.0834700548774434E-4i         5.039014092625352E-31                             0.17553450930077527                               52241.749991745746                                52880.006246715006                                0.5892532210772967                                9.540032638031436E-51                             7.254833625564585E-26
11.49606501900578+1.0772354515454989E-4i          1.3122749740603543E-32                            0.17553450930077527                               52729.32711845599                                 53358.610134906805                                0.5861821832439053                                2.5157666005991486E-52                            2.0643360983641214E-27
11.497234487031676+1.0772962829381485E-4i         9.056985774182245E-35                             0.17553450930077527                               52729.701449205495                                53361.02491190406                                 0.584348063617528                                 1.7365066336259102E-54                            7.756635580356866E-28
11.509199376060566+3.4876865581289775E-4i         0.21861075159788174                               0.17553450930077527                               22314.83143086431                                 16499.261653459314                                9.05116191558287E-6                               1.7756374702805243E-21                            3.5422582362353067E-19
11.516903065833912+3.4902063011927345E-4i         0.17645989443165241                               0.17553450930077527                               22305.74886479787                                 16498.38585390245                                 9.117108128931455E-6                              1.4336482029077057E-21                            2.736323061195718E-19
11.521077457143855+3.471832130983137E-4i          0.14211199135673977                               0.17553450930077527                               22336.65861897453                                 16591.715620321498                                9.08266911668817E-6                               1.1566077233897116E-21                            1.1462536236239407E-21
11.525661807633389+3.4783757824403147E-4i         0.03587732609100376                               0.17553450930077527                               22328.68849430732                                 16567.09150062543                                 9.110985456014518E-6                              2.9200696793066657E-22                            2.594592707196459E-19
11.52731051992446+3.4724791648726386E-4i          0.008409332649603361                              0.17553450930077527                               22347.64611824199                                 16597.598898632914                                9.102119821656486E-6                              6.851179874446934E-23                             1.9757531623330554E-19
11.529788801216155+3.463962161901615E-4i          0.020642967361902805                              0.17553450930077527                               22368.202579501813                                16641.9866378682                                  9.097955066317547E-6                              1.6837151710457735E-22                            1.1375347833953468E-19
11.530778536772829+3.4498724425055316E-4i         0.0023600907787794537                             0.17553450930077527                               22397.00505354837                                 16711.391127909614                                9.05570350948496E-6                               1.9276196590323332E-23                            4.188124630709382E-19
11.533174150042184+3.4435661730469465E-4i         0.02679800794394954                               0.17553450930077527                               22406.820697707022                                16745.474322803882                                9.028728802132937E-6                              2.1901590777561043E-22                            1.2194806940392155E-19
11.535970639193241+3.436151178918817E-4i          0.010145959925585295                              0.17553450930077527                               22432.98798580863                                 16785.68027285033                                 9.03847250528155E-6                               8.303830356846897E-23                             1.9503950621241762E-20
11.53888462810188+3.427954061905181E-4i           0.015909990708878746                              0.17553450930077527                               22442.211774657353                                16830.070657315635                                9.041640931931738E-6                              1.302997171963219E-22                             2.5812562594977135E-19
11.540759417474483+3.426268099574506E-4i          0.01202554432408801                               0.17553450930077527                               22447.352237035615                                16841.088368837874                                9.046532017315024E-6                              9.852542394669768E-23                             5.941812543253792E-20
11.5440589569778+3.4289428512212947E-4i           0.013489827313754506                              0.17553450930077527                               22441.241405666296                                16832.762359144206                                9.072675100307099E-6                              1.1052381408489342E-22                            2.3057123105288256E-20
11.549498465971663+3.407244036474748E-4i          0.008837435568024583                              0.17553450930077527                               22485.832606143962                                16947.946154615885                                9.01752569992171E-6                               7.258425423179016E-23                             1.9836395573221821E-19
11.55035138657799+1.0672754871646086E-4i          3.028388032483098E-28                             0.17553450930077527                               53497.346912578345                                54110.88673082628                                 0.5789309842302436                                5.918109852334117E-48                             1.682929136600496E-24
11.551855160502447+3.4125188305337114E-4i         0.0015323860869623557                             0.17553450930077527                               22486.055134539507                                16925.201625545284                                9.065722131780085E-6                              1.2588595131254849E-23                            3.8526594590590223E-20
11.552688841574675+3.407258712662826E-4i          2.3008602861217562E-4                             0.17553450930077527                               22492.167878316875                                16952.554868230083                                9.03997379812958E-6                               1.8908135263239323E-24                            7.127361927959335E-20
11.554647140070145+3.3973436227980816E-4i         1.6216092447643364E-4                             0.17553450930077527                               22512.22750792761                                 17004.91416242454                                 9.033468520899116E-6                              1.3340294827793648E-24                            2.0854401247071296E-18
