% Model:              n169_d36.25_R19.5_r7_rmaxerror0.0387_x0_y0_rev4.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 4 2024, 10:14
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
8.341452493853696+8.670562159976135E-5i           1.4235286507056274E-31                            48101.72789382376                                 0.1635884290523223
8.346597438998826+8.558372907453199E-5i           9.740391169803666E-32                             48762.33913338834                                 0.1635884290523223
8.348328370625172+8.559026321784228E-5i           1.8644082274193258E-31                            48768.72656461263                                 0.1635884290523223
8.41247090150747+5.943171259223569E-5i            3.2076484064248916E-31                            70773.80649142135                                 0.1635884290523223
8.413448888981804+5.97585838519377E-5i            5.836617118309113E-32                             70394.86283334038                                 0.1635884290523223
8.422910122487185+6.429672286937008E-5i           8.584610960956731E-33                             65499.84315191917                                 0.1635884290523223
8.628269876828133+6.723350243286929E-5i           3.2305343368076466E-35                            64165.94638263324                                 0.1635884290523223
8.62830583836019+6.723667841138315E-5i            2.2853317545312345E-34                            64163.182854787185                                0.1635884290523223
8.696491938128878+7.07358646462839E-5i            8.048798236949383E-30                             61471.08320838484                                 0.1635884290523223
8.715227992544026+3.761257620108532E-4i           0.5517407703338862                                11585.022165500384                                0.1635884290523223
8.728199297145434+3.7504534114744234E-4i          0.0034956625373716113                             11635.68976573611                                 0.1635884290523223
8.731856506675683+3.749617003462528E-4i           0.002861772996043435                              11643.161959203351                                0.1635884290523223
8.745466103785118+3.734758430510885E-4i           5.510289499711292E-4                              11707.705051377727                                0.1635884290523223
8.748499086018434+3.7316674493225393E-4i          0.05321558686274037                               11721.466706451893                                0.1635884290523223
8.75181569685704+3.730970958377724E-4i            0.08139937225957466                               11728.099389561723                                0.1635884290523223
8.764634052074175+3.717819692779259E-4i           6.238941981089336E-4                              11786.825644002647                                0.1635884290523223
8.767761694879905+6.718359290181408E-5i           1.47040348120875E-29                              65251.72403141333                                 0.1635884290523223
8.773320305178395+3.713871054497183E-4i           0.006871859144704623                              11811.051580126963                                0.1635884290523223
8.776681889428167+3.705039053788964E-4i           0.003035155350391399                              11843.743879839636                                0.1635884290523223
8.778303139867994+3.703794162046592E-4i           0.002097780131643139                              11849.91333870698                                 0.1635884290523223
8.78955942204679+6.129795127263775E-5i            5.612670622585625E-31                             71694.82989592798                                 0.1635884290523223
8.789782843214606+6.126778741305943E-5i           1.7786997094184401E-31                            71731.95067951904                                 0.1635884290523223
8.791574899366545+3.6954349454059636E-4i          2.567435361530546E-4                              11894.674838807243                                0.1635884290523223
8.79339467877776+3.694060216007062E-4i            4.574399986100037E-5                              11901.56446363398                                 0.1635884290523223
8.803240785977483+6.608953553592535E-5i           1.3939390395512625E-29                            66600.31384208034                                 0.1635884290523223
8.803858054247849+6.842604360983411E-5i           4.149290964379589E-31                             64330.64093041468                                 0.1635884290523223
8.804232039326038+6.882693866586503E-5i           4.9390511760800034E-31                            63958.649033818074                                0.1635884290523223
8.810712758805405+3.6764698283383695E-4i          0.0017211378986090996                             11982.061075268093                                0.1635884290523223
8.813577769874426+3.674322604055134E-4i           0.010909843603931135                              11992.961769781934                                0.1635884290523223
8.818304066006426+3.673252891702104E-4i           0.020604905282498358                              12002.88709882934                                 0.1635884290523223
8.82142605982994+3.669273055938921E-4i            1.8207421143190962E-6                             12020.160157106515                                0.1635884290523223
8.823245966156165+3.6737113408725136E-4i          0.002112014396712104                              12008.114376056465                                0.1635884290523223
8.841744082202196+3.6532212002777283E-4i          2.5130921972199924E-4                             12100.782215308947                                0.1635884290523223
8.851213964186611+3.6406195325683994E-4i          2.861565273439426E-4                              12155.673550850683                                0.1635884290523223
8.852186212815958+6.875938725594939E-5i           4.758918895485638E-24                             64370.14851700175                                 0.1635884290523223
8.853009176049362+6.871970390094378E-5i           8.323207143553772E-23                             64413.30731620416                                 0.1635884290523223
8.853399197920151+3.639699855748106E-4i           2.445799250895153E-4                              12161.746629211511                                0.1635884290523223
8.85580302756048+3.6422672288561914E-4i           2.9037201335022317E-4                             12156.473026342695                                0.1635884290523223
8.857486123146824+3.640162227599744E-4i           6.117234328919961E-4                              12165.814510130778                                0.1635884290523223
8.858253875631627+3.638899903407685E-4i           2.4312294803290863E-5                             12171.089710238062                                0.1635884290523223
