% Model:              n169_d37.00_R19.5_r7_rmaxerror0.0387_x0_y0_rev6.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 29 2024, 14:05
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.197812496363689+8.123763516283976E-5i           1.7065164199319188E-32                            56610.042939635445                                0.16824336506026377
9.198205533440943+8.108468718191621E-5i           2.6585859464032185E-32                            56719.24953191105                                 0.16824336506026377
9.215266974738936+8.1947788593777E-5i             7.932779089949886E-32                             56225.95572449279                                 0.16824336506026377
9.233122767735493+7.648261513445904E-5i           2.7602328843514387E-31                            60360.42625572143                                 0.16824336506026377
9.233416130552559+7.650315328543916E-5i           3.7943805745085807E-31                            60346.13897813352                                 0.16824336506026377
9.25592943749845+7.575254983430272E-5i            2.628514219708427E-32                             61092.687753831364                                0.16824336506026377
9.25630546208041+7.963240413944199E-5i            4.055355158400618E-32                             58118.46314617327                                 0.16824336506026377
9.271759473140037+8.081843974174586E-5i           1.0645070615917754E-32                            57361.158549182735                                0.16824336506026377
9.284368728092847+7.332848172109154E-5i           5.8597397841359235E-31                            63306.20234375656                                 0.16824336506026377
9.285178085382647+7.92472602950192E-5i            2.623474986985577E-30                             58583.09048504643                                 0.16824336506026377
9.285653932891725+7.916377516339012E-5i           1.6327655702717557E-32                            58647.877471041764                                0.16824336506026377
9.287626864431532+7.394694374491575E-5i           7.374280073888115E-34                             62798.76117324579                                 0.16824336506026377
9.300456142137069+6.868473693007647E-5i           3.8473896470377225E-35                            67703.45111248229                                 0.16824336506026377
9.301331955318412+6.860069597893051E-5i           1.7101403166901435E-33                            67792.77689810544                                 0.16824336506026377
9.303643155786201+6.883449348970331E-5i           1.0022500557679943E-33                            67579.30399465768                                 0.16824336506026377
9.30464843119478+7.811797972174309E-5i            1.64953936406842E-32                              59554.60155857248                                 0.16824336506026377
9.304984379869948+7.841393956498918E-5i           1.562604816987036E-32                             59331.96328405113                                 0.16824336506026377
9.317115977580716+3.716427918291572E-4i           0.5525790324049892                                12534.541972283854                                0.16824336506026377
9.323813914296+8.26175119919489E-5i               2.661463797706596E-30                             56427.08829376763                                 0.16824336506026377
9.324465059434122+8.254592403890348E-5i           1.0459111595063506E-31                            56479.96925440687                                 0.16824336506026377
9.329537434400816+3.7064907103812755E-4i          0.009383521402495818                              12584.90511607103                                 0.16824336506026377
9.330466883171542+3.7083929090194227E-4i          4.1781198565688725E-4                             12579.702672231968                                0.16824336506026377
9.345518849715315+3.695307496744104E-4i           5.4389852066241664E-5                             12644.616546875888                                0.16824336506026377
9.346414253737393+3.695406758583275E-4i           0.0017650482024225845                             12645.488391837504                                0.16824336506026377
9.350298438835434+3.691568434885032E-4i           0.12623775006895785                               12663.897971279102                                0.16824336506026377
9.353929334585564+8.021295402626754E-5i           4.11718471473561E-29                              58306.34915560166                                 0.16824336506026377
9.354368906778806+8.010881732539072E-5i           3.9680410250381464E-29                            58384.88817154029                                 0.16824336506026377
9.362658736287859+3.681837935410573E-4i           2.0143076504821474E-5                             12714.153298561872                                0.16824336506026377
9.367376809482035+3.6795787909962374E-4i          0.001216198755781795                              12728.370791472966                                0.16824336506026377
9.368852772179329+8.235459428430133E-5i           1.8820516778690976E-30                            56880.6771691563                                  0.16824336506026377
9.369397087011453+8.236385524806673E-5i           9.610656052086566E-31                             56877.58576531995                                 0.16824336506026377
9.37391087893623+3.6714466600441977E-4i           4.871320495810137E-5                              12765.46320948076                                 0.16824336506026377
9.377361708784887+3.6734326848977345E-4i          8.014556828150937E-5                              12763.258299950214                                0.16824336506026377
9.386011927649456+3.663885039620088E-4i           6.732925019629765E-5                              12808.323660348617                                0.16824336506026377
9.387329907723617+3.664189796436071E-4i           9.024283006239715E-6                              12809.056759926265                                0.16824336506026377
9.39016741829371+7.595412028598225E-5i            5.9501142523211315E-31                            61814.23008363575                                 0.16824336506026377
9.395157073027258+7.864155439236994E-5i           2.0204078381307024E-25                            59733.54599615064                                 0.16824336506026377
9.395356352614137+7.863701982318771E-5i           2.2832075260421987E-24                            59738.25733469655                                 0.16824336506026377
9.404156831443752+3.6483774270507324E-4i          0.008382494294386386                              12887.65289365424                                 0.16824336506026377
9.40466571875307+3.649676199059377E-4i            0.0017538470496774898                             12883.709007797313                                0.16824336506026377
