% Model:              n169_d36.00_R19.5_r7_x0_y0_maxpositionerror0.352_rev1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2024, 14:51
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
8.30165751987184+7.175638424097875E-5i            2.362982742595428E-17                             57845.86883648054                                 0.161900377989688
8.314035199313562+8.122199819083395E-5i           1.4723793074697086E-22                            51180.466470723746                                0.161900377989688
8.31858781877574+8.221986520793833E-5i            5.752360101557657E-22                             50586.987698018376                                0.161900377989688
8.319504390603809+8.052925685473468E-5i           5.368278546434992E-21                             51654.697801412454                                0.161900377989688
8.320633310805809+8.182915782297224E-5i           1.6358056784279934E-21                            50841.02292146891                                 0.161900377989688
8.321048025441472+8.072936668912356E-5i           3.4498484685026944E-21                            51536.21680444519                                 0.161900377989688
8.323265720936465+8.110413154084542E-5i           9.631977734431502E-25                             51311.74725897689                                 0.161900377989688
8.325852901105227+8.366082463140465E-5i           2.1902740296655524E-26                            49759.09483682291                                 0.161900377989688
8.327603616594354+8.389591483321989E-5i           3.6195418029111396E-27                            49630.09328126859                                 0.161900377989688
8.328290632408327+8.375379632202317E-5i           1.2405059853733144E-28                            49718.410562912475                                0.161900377989688
8.332344896689303+8.39451462839919E-5i            1.7194031994810731E-31                            49629.22456795928                                 0.161900377989688
8.332392265427483+8.382517717523145E-5i           4.425820955949439E-31                             49700.5362757713                                  0.161900377989688
8.337368107028164+8.397563404736987E-5i           8.903361268608899E-32                             49641.11287035795                                 0.161900377989688
8.357151369799807+7.803497535083005E-5i           5.219352962623197E-32                             53546.988518155005                                0.161900377989688
8.400518180712725+7.196843062866603E-5i           1.234145935281753E-32                             58362.02756291116                                 0.161900377989688
8.40131362653828+7.168688681272925E-5i            2.06658160392897E-32                              58596.78906903509                                 0.161900377989688
8.406148043205592+8.32678451753092E-5i            4.492289733168677E-31                             50476.05995198292                                 0.161900377989688
8.41755431631434+8.210662854859706E-5i            4.768147252267801E-30                             51259.397950675215                                0.161900377989688
8.418811354421328+8.287463093638276E-5i           6.429351215869766E-31                             50791.95435044974                                 0.161900377989688
8.512540276111267+5.164083277129959E-5i           1.1110763126440636E-32                            82420.13322665796                                 0.161900377989688
8.513447555106957+5.151677206766362E-5i           2.9610119941076026E-33                            82627.42107899878                                 0.161900377989688
8.519810936365724+5.7822123994603006E-5i          3.2582373905300934E-32                            73672.08707728579                                 0.161900377989688
8.574442367329079+3.6977413207624156E-4i          0.5690917377751863                                11593.661513411455                                0.161900377989688
8.58796612507138+3.683765384672609E-4i            0.00608895438265941                               11656.004484832927                                0.161900377989688
8.589326910384598+3.689549510551962E-4i           0.0034460850225543115                             11639.574592245592                                0.161900377989688
8.604519701512366+3.669030260661256E-4i           0.003220686764123459                              11725.37592550911                                 0.161900377989688
8.607722436103083+3.669142980010995E-4i           0.0026612547347507915                             11729.379985757385                                0.161900377989688
8.612194295793977+3.6602313036543155E-4i          0.11819348478311506                               11764.047600183465                                0.161900377989688
8.623660927249324+3.6506182578696146E-4i          3.4457574737873503E-4                             11810.731257852603                                0.161900377989688
8.631321027720611+3.6425180812636114E-4i          1.6563343379409298E-4                             11847.511292204432                                0.161900377989688
8.637303125508431+3.6285143825938036E-4i          8.615850483925169E-7                              11901.479678078134                                0.161900377989688
8.640034134882086+3.6303708999185666E-4i          3.1602953696697E-4                                11899.154332285054                                0.161900377989688
8.64775702493474+3.6221096411330825E-4i           2.057488824509094E-4                              11936.95509144437                                 0.161900377989688
8.655609706277257+3.621341926589358E-4i           2.5523714888713168E-5                             11950.327376268508                                0.161900377989688
8.666250467847414+3.588769084737973E-4i           0.010899113750098834                              12073.621081050349                                0.161900377989688
8.671481287913842+3.596518856218061E-4i           0.009047990500373712                              12054.87531080855                                 0.161900377989688
8.672341379639347+3.5960248763120705E-4i          0.018083417267285865                              12057.727138054901                                0.161900377989688
8.679884535205035+3.5886351520681694E-4i          6.254582112092575E-5                              12093.06639880015                                 0.161900377989688
8.685823058215007+3.597486152009049E-4i           0.0010488030098617833                             12071.56524090749                                 0.161900377989688
8.700303028073002+3.575511283088214E-4i           9.104332248451885E-5                              12166.00625048931                                 0.161900377989688
