% Model:              n169_d37.25_R19.5_r7_x0_y0_maxpositionerror0.352_rev6_corrected.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 18 2024, 18:59
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.4732525310927+7.747278031316064E-5i             3.3024725734042736E-32                            61138.73369337986                                 0.16961624877406398
9.473989519899547+7.696886075281321E-5i           1.7370538184687731E-31                            61543.803294773345                                0.16961624877406398
9.48137712418789+7.387879042745736E-5i            1.0962718619464943E-32                            64167.96628744548                                 0.16961624877406398
9.481830088151597+8.279863306340118E-5i           3.8663172429374724E-31                            57257.8746533441                                  0.16961624877406398
9.483749169197923+8.34447548023626E-5i            8.475764719972675E-32                             56826.01588544077                                 0.16961624877406398
9.484114191379375+8.251565917164402E-5i           1.9384837988825758E-31                            57468.07313350599                                 0.16961624877406398
9.48534657091955+8.094520056930776E-5i            8.461687205453382E-32                             58590.66222813056                                 0.16961624877406398
9.525710950420923+7.940619527815586E-5i           4.0577894937782246E-30                            59980.405315134376                                0.16961624877406398
9.527029983420539+7.920409620724783E-5i           5.856151022496001E-32                             60141.780819927204                                0.16961624877406398
9.527805384266598+7.75998639149121E-5i            5.0239262930920624E-30                            61390.10632109354                                 0.16961624877406398
9.534462797626064+3.9753584796599356E-4i          0.5888155067616003                                11991.453512307686                                0.16961624877406398
9.53995577697386+8.037197229434018E-5i            8.584430540884232E-31                             59348.27237690111                                 0.16961624877406398
9.54025944249467+8.320871134433582E-5i            2.5390255877601957E-30                            57326.78755045522                                 0.16961624877406398
9.540629093509983+8.200305728496468E-5i           6.964776091933227E-30                             58171.89875379762                                 0.16961624877406398
9.541212689508885+7.938983165515033E-5i           4.170465043690962E-30                             60090.398871132435                                0.16961624877406398
9.544093306567444+8.581869348188678E-5i           1.2741424770127225E-30                            55605.64430445818                                 0.16961624877406398
9.544574702347518+3.9645624769976733E-4i          0.006828741770129034                              12036.861971561084                                0.16961624877406398
9.545664082758+3.966203016543691E-4i              0.0010705351303699478                             12033.256289654248                                0.16961624877406398
9.557921293055877+3.9527586889993117E-4i          0.002346649399080937                              12089.690751604932                                0.16961624877406398
9.559653222633152+3.95590198084592E-4i            6.723940158181079E-4                              12082.273138212364                                0.16961624877406398
9.563537795738394+3.952151594796978E-4i           0.08744562115960612                               12098.653563360323                                0.16961624877406398
9.565139439377045+8.351888293742311E-5i           2.0643975151131523E-30                            57262.83435804054                                 0.16961624877406398
9.565454922649877+8.363830081642074E-5i           3.682227389815826E-30                             57182.960373115224                                0.16961624877406398
9.570328212412969+8.118881642651028E-5i           8.406916615883444E-31                             58938.20996371971                                 0.16961624877406398
9.57537863308597+3.9423114690147535E-4i           5.157641690809164E-4                              12143.871028094496                                0.16961624877406398
9.577148243178183+3.937361144432378E-4i           1.5807495540324798E-5                             12161.386976780828                                0.16961624877406398
9.589770882553378+3.931690077542618E-4i           6.57666200830996E-4                               12194.98166970195                                 0.16961624877406398
9.59027641818969+3.933071620849183E-4i            2.3515751735225695E-4                             12191.340516500884                                0.16961624877406398
9.594556117054498+3.924239480454952E-4i           2.5251868923823427E-4                             12224.233121831383                                0.16961624877406398
9.59898724942556+3.9237827509948624E-4i           3.863576762265404E-6                              12231.302564258967                                0.16961624877406398
9.603629492077047+7.870081900340503E-5i           1.6952261331337766E-31                            61013.02888203852                                 0.16961624877406398
9.611455700214258+3.9089709873643387E-4i          0.0030336350595698935                             12293.599374552681                                0.16961624877406398
9.615332364935501+3.9085167534247774E-4i          0.016068250071428727                              12299.987362720627                                0.16961624877406398
9.618550061376286+3.9061652680735614E-4i          0.00811994568700096                               12311.510876210456                                0.16961624877406398
9.621123655724306+3.91003318501473E-4i            0.010896966852736228                              12302.62246215758                                 0.16961624877406398
9.62234645391198+7.75000414420124E-5i             7.439410401179446E-28                             62079.119671667664                                0.16961624877406398
9.623342036176048+7.740633524486591E-5i           9.309482170821984E-29                             62160.702538838035                                0.16961624877406398
9.625089312811712+3.903907169503515E-4i           5.9493918201964366E-5                             12327.007566657652                                0.16961624877406398
9.641123420633653+7.745425542560153E-5i           5.160548094512536E-22                             62237.02751014173                                 0.16961624877406398
9.641383799630994+3.893455324241595E-4i           9.771272705371975E-6                              12381.025674556495                                0.16961624877406398
