% Model:              n7_d38_R19.5_r7_h300_lrod299_x7.00_mitigated_cavity.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 10 2024, 17:37
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
8.121330823691688+0.00109543149679232i            5.226652633897227E-5                              654950.509529949                                  0.0021698672829915653
8.121826782493818+0.0012591761309194126i          1.1057255956721868E-4                             509560.4976843835                                 0.0021698672829915653
8.122368246639834+0.001145364697601327i           2.7222358767817207E-5                             725986.3437842947                                 0.0021698672829915653
8.123574326180902+0.0011449521568457875i          5.416109358797059E-5                              633124.6628386327                                 0.0021698672829915653
8.1250092882882+0.002309914682295853i             3.6855460295524183E-4                             233951.29089570494                                0.0021698672829915653
8.125063370455894+0.001213812931795468i           1.2659871329942978E-5                             646952.8438305464                                 0.0021698672829915653
8.127998280509697+0.026238785394031055i           0.002551447119292141                              24546.6477501475                                  0.0021698672829915653
8.136894836541366+0.04096236056078077i            0.0017599707724281633                             24151.38130839265                                 0.0021698672829915653
8.144634812995447+0.05271244218620703i            3.570684453233859E-6                              24306.707052738704                                0.0021698672829915653
8.160245990631312+0.015426381128007422i           7.136713199315214E-7                              29778.20704260251                                 0.0021698672829915653
8.166014023304733+0.08078161369558234i            1.9357983510850614E-6                             22566.59821287083                                 0.0021698672829915653
8.171829874750985+0.0640153051169165i             2.7008687781619235E-4                             24129.150762925805                                0.0021698672829915653
8.175601027018935+0.05464831421518976i            8.309679472474402E-4                              22124.366711449922                                0.0021698672829915653
8.178082733370388+0.10677038430852798i            7.931386537917928E-4                              25274.55651251854                                 0.0021698672829915653
8.184132146800028+0.07746670161387252i            9.178519471408592E-5                              28479.6490232258                                  0.0021698672829915653
8.202109134280029+0.0014883218752997091i          1.8802817891468816E-5                             34808.07684225928                                 0.0021698672829915653
8.204180542534939+0.06637102794213878i            7.252190234306428E-7                              24647.935504444155                                0.0021698672829915653
8.21118824535773+0.04869434295846239i             2.2466062246680235E-6                             22653.761985078407                                0.0021698672829915653
8.21677332972335+0.12433210081465904i             5.063131797440208E-4                              25032.68865103785                                 0.0021698672829915653
8.24300709189629+0.00803281809913469i             2.681269745138334E-4                              32796.197910588926                                0.0021698672829915653
8.24383879879772+0.05136085828124098i             3.9508165933886213E-4                             25240.495262880042                                0.0021698672829915653
8.245361491592455+0.036836442617606345i           8.085954642629778E-6                              24900.239480001354                                0.0021698672829915653
8.247130596265423+0.06922592240101723i            8.563531869504228E-7                              23775.00596462719                                 0.0021698672829915653
8.257218986710141+0.0882689648351633i             6.297265367968514E-4                              24144.10199598742                                 0.0021698672829915653
8.263254720718184+0.05925895911080872i            5.89938561578313E-6                               26179.43379147211                                 0.0021698672829915653
8.26431922620433+0.03740298097206117i             0.009611987766536101                              24922.803129784243                                0.0021698672829915653
8.27672805235215+0.04955764906510196i             3.298604323066783E-6                              24212.81987683157                                 0.0021698672829915653
8.294692480512515+0.10113079740536506i            2.430530449006155E-6                              23890.276608507094                                0.0021698672829915653
8.29578219579865+0.05135120379394941i             0.0030964486950087254                             21773.43488380484                                 0.0021698672829915653
8.308905738962356+0.012086461531795746i           4.288116065038292E-4                              31854.628781276824                                0.0021698672829915653
8.310566045558334+0.06610388682674777i            2.0175538305374248E-4                             24915.607622581934                                0.0021698672829915653
8.316200307089948+0.061473669704325315i           0.0019036450375381321                             27184.928005439753                                0.0021698672829915653
8.319583923097447+0.08922657638756631i            4.7085895888076857E-4                             23961.010273926095                                0.0021698672829915653
8.320162198344958+0.11018096802371793i            2.542135854828732E-4                              24579.639291286974                                0.0021698672829915653
8.324348380314262+0.08507211992883773i            2.4803815136279747E-6                             26520.199986006992                                0.0021698672829915653
8.329485234813138+0.06413441711734291i            3.604685109584436E-6                              25093.326896183447                                0.0021698672829915653
8.334027507364825+0.035518049826092704i           3.2505891683974794E-5                             25025.95631080597                                 0.0021698672829915653
8.340061366006529+0.0034788908836474635i          0.26128711815411815                               22452.459154636956                                0.0021698672829915653
8.347153233803946+0.053111202225564466i           0.0023263456363733976                             28190.678603210043                                0.0021698672829915653
8.3616424839843+0.055231849377333546i             0.0031789662958254814                             25806.12176742329                                 0.0021698672829915653
8.363859165403468+0.09494145328204508i            3.8306978018301947E-4                             24651.222479174794                                0.0021698672829915653
8.366941755074384+0.08627523906683429i            7.681238441758517E-6                              24432.052480427148                                0.0021698672829915653
8.367472488039187+0.0021532902700188475i          4.8519300006455787E-4                             23591.6851128981                                  0.0021698672829915653
8.37652561430772+0.009688100670512722i            5.83282989174613E-4                               22248.676892387597                                0.0021698672829915653
