% Model:              n7_d38_R19.5_r7_h300_lrod300_x3.00_simplified_model_full_pillbox.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 8 2024, 15:46
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
9.48698076282701+1.7314547139616305E-4i           1.910167790532952E-8                              27395.50149999323                                 0.0021648085141029666
9.487956984011243+1.147394549954585E-4i           2.1611163367726665E-8                             41345.18761996851                                 0.0021648085141029666
9.489044680208107+1.716825581880409E-4i           5.645285090827982E-9                              27634.95412372154                                 0.0021648085141029666
9.489800588873592+1.5781326764866373E-4i          1.9803589271729743E-7                             30066.068246385115                                0.0021648085141029666
9.489826115904078+1.5991596161183845E-4i          3.261343788090136E-8                              29670.810457263196                                0.0021648085141029666
9.490704126080432+1.5396766732652425E-4i          7.550607350298855E-8                              30819.96505451293                                 0.0021648085141029666
9.491230404554926+1.5333373506922133E-4i          2.7395342021741796E-11                            30949.102998929073                                0.0021648085141029666
9.491605631332632+1.5230971337232263E-4i          4.722545965978527E-9                              31158.417703388335                                0.0021648085141029666
9.49261656373464+1.4769670221276838E-4i           9.355147092081126E-9                              32135.026222278386                                0.0021648085141029666
9.493790125190536+1.2008343973859697E-4i          6.452029917800315E-8                              39529.49671792181                                 0.0021648085141029666
9.495669340545712+1.2086067986690437E-4i          8.969644797738514E-9                              39283.05783122238                                 0.0021648085141029666
9.51961596518156+1.1575206657234532E-4i           7.484686645026458E-9                              41120.23394671528                                 0.0021648085141029666
9.527820155632929+1.1088956019561552E-4i          2.096973125080038E-9                              42960.368147841255                                0.0021648085141029666
9.536241656237213+1.2546903890880845E-4i          5.400968869509752E-8                              38001.88153296648                                 0.0021648085141029666
9.540786413633866+1.6227625768968688E-4i          2.4877988933659756E-7                             29396.24980912689                                 0.0021648085141029666
9.54236197277066+1.1923600919499753E-4i           8.784984769069459E-8                              40014.10901380856                                 0.0021648085141029666
9.548225459166854+1.6074063426808495E-4i          3.7219601623711376E-7                             29700.228210998743                                0.0021648085141029666
9.561844314504555+1.5912615521543344E-4i          7.419994801291323E-8                              30044.35985516344                                 0.0021648085141029666
9.57723758303191+1.833528601989418E-4i            6.510012101692882E-7                              26116.46049152026                                 0.0021648085141029666
9.578563817111972+1.7982904134804362E-4i          1.828014879394767E-7                              26631.919699841637                                0.0021648085141029666
9.579230749551652+1.5926496210277868E-4i          9.452282789360428E-12                             30072.755890803826                                0.0021648085141029666
9.586355716641906+1.2701570075570784E-4i          2.3494634392987506E-7                             37736.396446588995                                0.0021648085141029666
9.623620022504237+1.2974546199675716E-4i          2.9542814105105107E-7                             37086.03918113179                                 0.0021648085141029666
9.655564131886988+1.0906476185786506E-4i          8.607809553050048E-9                              44264.778845907786                                0.0021648085141029666
9.68202960329988+1.1687089163848909E-4i           1.4434524741610672E-10                            41421.40357516818                                 0.0021648085141029666
9.707859218004335+1.9386357833612683E-4i          3.604045488070865E-6                              25037.3624627705                                  0.0021648085141029666
9.712070202201993+1.884225939553374E-4i           2.9350014245856E-5                                25771.542516170484                                0.0021648085141029666
9.713112947200292+1.2161650181606545E-4i          1.2920301480644217E-7                             39932.86760422977                                 0.0021648085141029666
9.721261229983769+1.1465616575931156E-4i          6.77920948983233E-6                               42392.60271890633                                 0.0021648085141029666
9.726225400325916+1.221433184127907E-4i           1.5512885673959777E-5                             39814.30737810914                                 0.0021648085141029666
9.731490029099534+2.7901893607170134E-4i          0.3774102303219309                                17438.262674769543                                0.0021648085141029666
9.735503576075127+1.3042124514072546E-4i          5.57488624117693E-5                               37322.80395018574                                 0.0021648085141029666
9.738536002567118+1.6502141985115073E-4i          9.595780098733823E-7                              29506.384548102476                                0.0021648085141029666
9.739447259990563+1.2489013948997624E-4i          2.147248875976948E-7                              38991.55838196395                                 0.0021648085141029666
9.741272449974128+1.641997828276946E-4i           2.2264706843053475E-6                             29662.366289788693                                0.0021648085141029666
9.744528909535578+2.8393871905283167E-4i          6.161323400598746E-8                              17159.06332161964                                 0.0021648085141029666
9.749481083204902+1.7099381392191132E-4i          6.901249613726766E-5                              28507.78571353496                                 0.0021648085141029666
9.749591687488222+1.4374951768352822E-4i          1.1659834542254085E-5                             33911.23676690644                                 0.0021648085141029666
9.750154520690776+1.3149860833959384E-4i          4.93509519802406E-5                               37072.7229083826                                  0.0021648085141029666
9.750491485999053+1.3002942055864337E-4i          1.285336737442044E-5                              37492.90479996509                                 0.0021648085141029666
9.772036874307918+1.2342337592057676E-4i          1.896446791447094E-7                              39586.962885284825                                0.0021648085141029666
9.773636430943931+1.234997186043176E-4i           4.736316792333851E-6                              39568.9673517484                                  0.0021648085141029666
9.782678248873182+2.8475169519879477E-4i          9.314374692594527E-6                              17177.058629609186                                0.0021648085141029666
9.784574242732232+2.0658140373150545E-4i          9.054976027909282E-4                              23681.626430461423                                0.0021648085141029666
9.785098526074233+2.5693386216550526E-4i          0.008106514346324966                              19041.556266540916                                0.0021648085141029666
9.786552612026219+1.2307670043416543E-4i          2.6077222876982835E-5                             39757.44016044055                                 0.0021648085141029666
9.792785213541181+1.2345288570687153E-4i          8.408702486510336E-8                              39661.532309235765                                0.0021648085141029666
9.79796932136329+2.676237645460189E-4i            1.1184418715653448E-6                             18304.990763098154                                0.0021648085141029666
9.799343081554978+1.4254341359328917E-4i          3.93824770809776E-7                               34372.68562778537                                 0.0021648085141029666
9.813816671558028+1.4386397270699328E-4i          1.1913364047386918E-8                             34107.468475585054                                0.0021648085141029666
9.832008711017359+1.2853348507774857E-4i          1.277931504040233E-7                              38246.37075649868                                 0.0021648085141029666
9.83590622876205+2.690233417641217E-4i            5.583353876831543E-7                              18280.264220242218                                0.0021648085141029666
9.846160195718864+2.858752241659443E-4i           1.3063667271603527E-6                             17220.57634647529                                 0.0021648085141029666
9.851762316753655+1.6654727098906202E-4i          6.976721359274211E-8                              29575.96779963298                                 0.0021648085141029666
9.874761173000147+2.536979439296313E-4i           1.804089079011107E-4                              19461.14299393223                                 0.0021648085141029666
9.880484536518326+1.3052733315318775E-4i          7.603459734717764E-9                              37847.82033116052                                 0.0021648085141029666
9.887490824855025+2.589296867704802E-4i           1.2235926575654548E-6                             19092.49503178292                                 0.0021648085141029666
9.898660177756778+1.2118193198483673E-4i          1.4915933738613955E-8                             40841.62395257365                                 0.0021648085141029666
9.89906677123819+2.696952553601479E-4i            9.860458279091777E-7                              18351.809384022665                                0.0021648085141029666
9.911236865797244+1.7919071055124696E-4i          8.932065144343976E-7                              27655.03688050531                                 0.0021648085141029666
