% Model:              n7_d38_R19.5_r7_h300_lrod299_x7.00_realistic_cavity.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 10 2024, 17:42
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
8.116942480068262+0.0450114996434905i             2.573777682139164E-7                              27982.03970579219                                 0.002165885667873785
8.127397085106749+0.04795309806287786i            5.563454500713058E-9                              28175.221753131762                                0.002165885667873785
8.127505392507981+0.039166382658537516i           2.313142626011129E-5                              29301.33108593515                                 0.002165885667873785
8.14204756017432+0.04459980616727068i             7.337045577024428E-7                              27373.963192463067                                0.002165885667873785
8.142628996761985+0.056644124625194664i           1.031328930009E-5                                 26897.373078584482                                0.002165885667873785
8.151213737507838+0.11822146684580508i            2.9933415178147926E-7                             25410.08545360011                                 0.002165885667873785
8.156094562393601+0.06261968310363601i            3.505272260264015E-5                              24391.887033302264                                0.002165885667873785
8.156666486437773+0.01486075260384123i            1.746283858876582E-7                              29763.20211172599                                 0.002165885667873785
8.1664812681836+0.11583272469479697i              2.0490360397798385E-4                             25010.814899810088                                0.002165885667873785
8.175143493365322+0.06340862044235969i            4.5050070425977694E-7                             24199.683980439153                                0.002165885667873785
8.18161978198145+0.0722258597773971i              1.39108527711482E-4                               28428.45742105018                                 0.002165885667873785
8.20158813310205+0.0015678880807596018i           1.7198909335319253E-5                             34686.29456452939                                 0.002165885667873785
8.2056214910783+0.09456983859931489i              3.4421253989930106E-7                             22992.20389819718                                 0.002165885667873785
8.214731782499848+0.02545779080456885i            0.004280058954281884                              23954.875834471753                                0.002165885667873785
8.226325658093593+0.08773138997721594i            3.769606067084673E-6                              25300.17752561475                                 0.002165885667873785
8.234477862249689+0.059325187780983855i           2.935248092060332E-6                              26695.024903317244                                0.002165885667873785
8.235988314262217+0.0822372430408584i             6.28080353088971E-4                               25679.392716959817                                0.002165885667873785
8.241137589884367+0.007064296994916978i           2.223592110088495E-4                              33056.180415378614                                0.002165885667873785
8.245034394129373+0.058353161669610645i           1.2683691545814845E-5                             27792.39768493535                                 0.002165885667873785
8.259169877990919+0.027085164368766266i           3.984306841721938E-6                              29506.517968840173                                0.002165885667873785
8.261603740425931+0.08640124950895461i            0.0015984366540188007                             25300.854436729613                                0.002165885667873785
