% Model:              n7_d38_R19.5_r7_h300_lrod299_x0.00_rodtilt0.24deg.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 20 2024, 11:36
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
10.336052242860848+0.003663149444217795i          2.54824407250334E-6                               35915.961225176834                                0.002169799375372713
10.344481247575231+0.003629360960434928i          2.968798489085595E-7                              35948.33094963144                                 0.002169799375372713
10.354111307360315+0.06129931846730249i           5.165531759941467E-6                              21927.544311462465                                0.002169799375372713
10.369446028434863+0.02182746225425728i           1.2399123168261825E-7                             36842.33288787672                                 0.002169799375372713
10.376337296827835+0.06324200115934825i           8.015838534343771E-4                              31891.73658502088                                 0.002169799375372713
10.387766223789482+0.10544997751862456i           3.5656466734643426E-6                             33496.55874074689                                 0.002169799375372713
10.39279179716246+0.0631436766117255i             6.210126494791682E-6                              30914.048294373337                                0.002169799375372713
10.395290349114951+0.00789384157715753i           6.119960358601878E-6                              35878.25913055861                                 0.002169799375372713
10.403659919664321+0.007862011188568573i          6.96731665797431E-6                               35891.24073753681                                 0.002169799375372713
10.405225762154206+0.06100345664183185i           0.004570236785735182                              22302.68393651872                                 0.002169799375372713
10.405246096817589+0.04654376863062557i           4.356956932369014E-4                              22380.432512638996                                0.002169799375372713
10.407693971129858+0.12625893382534856i           1.4775604235511541E-6                             33427.02606447479                                 0.002169799375372713
10.409192887514703+0.135230264068645i             4.2839166356256274E-7                             39847.99790810484                                 0.002169799375372713
10.409952035409866+0.12298096439722109i           1.0001492923596439E-6                             33581.55282129791                                 0.002169799375372713
10.418455502632485+0.0037142964671591583i         0.30954570942982595                               14600.733891898555                                0.002169799375372713
10.419213006735669+0.06748919030929941i           1.873865551384066E-5                              22399.053436283844                                0.002169799375372713
10.433567970295625+0.0029458860184899105i         0.006301722969121644                              14721.99404901486                                 0.002169799375372713
10.465021275163462+0.05610402982591156i           3.520361920129211E-7                              28572.677153512002                                0.002169799375372713
10.465741114780826+0.06073360155930804i           1.951771856654148E-4                              28390.1738520034                                  0.002169799375372713
10.470476640430224+0.10281319657952936i           0.0017356829251769703                             29679.755266929606                                0.002169799375372713
10.477066464161734+0.012616797227306114i          3.522016498487707E-7                              36014.74941246229                                 0.002169799375372713
10.483385700359609+0.11156754873877765i           4.6745784259515E-6                                29884.417575396594                                0.002169799375372713
10.484666979794719+0.012742691615932963i          8.695090699677573E-7                              36075.22100152825                                 0.002169799375372713
10.48904832267904+0.11232193973738583i            3.877126910593802E-4                              29281.905558907838                                0.002169799375372713
10.493214239824278+0.007957946756096476i          0.003741222047158373                              15202.548289009836                                0.002169799375372713
10.501094348225072+0.08855604549425979i           2.521390488963429E-5                              21978.682608327545                                0.002169799375372713
