% Model:              n7_d38_R19.5_r7_h300_lrod299_x0.00_mitigated_cavity.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 10 2024, 17:40
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
10.461681965857004+0.05893533202186127i           8.280241916158673E-7                              29728.785225012532                                0.0021698672958171458
10.46196818850309+0.061032004691047956i           7.413579272457184E-7                              29795.954537352653                                0.0021698672958171458
10.480820617878033+0.057748692316122154i          4.311631513302789E-7                              28375.670840176714                                0.0021698672958171458
10.481274050423012+0.012906767447428932i          2.671949669727011E-8                              36139.08972949137                                 0.0021698672958171458
10.484722784139507+0.10950386160515786i           2.23097885812818E-6                               30131.068879606548                                0.0021698672958171458
10.484765877554414+0.10726030895868295i           9.08401132688775E-7                               30132.22406339408                                 0.0021698672958171458
10.485315295893637+0.05730068495978808i           1.5844416111673868E-5                             28877.68314867298                                 0.0021698672958171458
10.488359558576207+0.013074579410497418i          1.7011546073738672E-7                             36157.112771668864                                0.0021698672958171458
10.492866069604439+0.09071156757628976i           9.094860654223883E-7                              21193.616026814772                                0.0021698672958171458
10.507935138451158+0.03100222572959349i           5.5657092214849116E-8                             37358.65410126941                                 0.0021698672958171458
10.519492451495319+0.03421863868240396i           1.862133837492641E-5                              31733.41321613609                                 0.0021698672958171458
10.521862933374853+0.03364536811472544i           4.430940308785305E-5                              32489.004989304805                                0.0021698672958171458
10.525188318916166+0.07764226418468138i           8.015727678997673E-6                              36399.896521516                                   0.0021698672958171458
10.5264671284128+0.07291482757567197i             6.909475280013015E-7                              33386.04697750024                                 0.0021698672958171458
10.527386627013513+0.07804753563417875i           1.6491844468490577E-6                             36871.037820418445                                0.0021698672958171458
10.527406222070454+0.1221450061230658i            2.25223010147332E-6                               34195.98469048378                                 0.0021698672958171458
10.528953481525354+0.05577544342380396i           1.8190636756170848E-6                             31757.21662039443                                 0.0021698672958171458
10.532378658135931+0.04024185054553035i           0.0018205863413769238                             31745.074655682685                                0.0021698672958171458
10.535178483320221+0.0010682260989632688i         1.7070119409970663E-7                             36769.16409584368                                 0.0021698672958171458
10.53884269509903+0.12092050954290913i            2.9918870669746724E-7                             34268.92473104381                                 0.0021698672958171458
10.543164618333293+0.0010839493202614893i         1.5359695110880207E-7                             36786.471576397445                                0.0021698672958171458
10.559783537376807+0.10611240403089586i           9.370464537467032E-7                              35179.53721737396                                 0.0021698672958171458
10.559925304045322+0.10544804092808809i           8.09888011067016E-7                               35120.47431118833                                 0.0021698672958171458
10.570116809113927+0.003767124355826941i          1.5901409300447348E-6                             36611.962776672044                                0.0021698672958171458
10.578061822011167+0.0037853015091683932i         2.988968578976489E-6                              36633.35178562122                                 0.0021698672958171458
10.587389405273932+0.022136850600385616i          8.052087806540124E-7                              36001.571316672                                   0.0021698672958171458
10.594939569882273+0.022017714187841465i          5.637213977959189E-7                              35997.08675629997                                 0.0021698672958171458
10.597741951922503+0.0011404030012113434i         9.681604047043048E-6                              49886.90774945348                                 0.0021698672958171458
10.600044162768022+0.07177808731514225i           1.8741503410420886E-6                             22307.52384763556                                 0.0021698672958171458
10.60564006406642+7.468388368690993E-4i           0.4642836532093696                                13740.086849345216                                0.0021698672958171458
10.607153031565012+0.0766671740614225i            2.4586256947762056E-6                             36584.249565604274                                0.0021698672958171458
10.615135091841314+0.10229791886426204i           2.414311581624714E-7                              30884.154732326853                                0.0021698672958171458
10.615765901839248+0.15632563810501401i           1.380004391688976E-6                              32291.37955984517                                 0.0021698672958171458
10.615953838946359+0.06610010662579933i           9.505227241040986E-6                              31742.827090131974                                0.0021698672958171458
10.616185396444253+0.09959483287190468i           5.8855521399408005E-6                             30958.016464291613                                0.0021698672958171458
10.622293164750296+0.1647806552870813i            1.5469318731712392E-6                             32352.148043203255                                0.0021698672958171458
10.626635977703742+0.06546466454117389i           5.076307285666306E-6                              31658.641556339204                                0.0021698672958171458
10.628238656123878+0.008039468490812522i          1.1841045573087422E-5                             36348.754541214985                                0.0021698672958171458
10.631249080514465+0.004179459827955729i          2.0213792145100137E-8                             49550.40427458031                                 0.0021698672958171458
10.635670856936615+0.0014927800214924291i         1.252645496322815E-4                              13876.27430055582                                 0.0021698672958171458
10.636113272833919+0.00782348293544846i           2.425187654875737E-6                              36406.16175360006                                 0.0021698672958171458
10.65710952284214+0.03624607949682836i            5.206646603938605E-8                              38447.11164566154                                 0.0021698672958171458
10.662066916658052+0.06694539031569847i           9.487899452703177E-6                              28680.460930257646                                0.0021698672958171458
10.663663030736293+0.06605111459034695i           2.8994086878204655E-7                             28645.75738484947                                 0.0021698672958171458
10.678892378281722+7.659302565057268E-4i          2.9385142064356295E-5                             37338.031170821254                                0.0021698672958171458
10.686894281027053+0.04932894452105616i           6.158738179050493E-4                              24167.775269465583                                0.0021698672958171458
10.686896415571134+0.009227997495964533i          1.5372197745683632E-6                             49050.641106356634                                0.0021698672958171458
10.689354761567117+0.0024264460294996307i         0.047679243155193736                              14034.284253036894                                0.0021698672958171458
10.689540160686969+0.13433844985761118i           6.807014856443509E-7                              32589.02005322932                                 0.0021698672958171458
10.698801534910096+0.12531047507319054i           4.988500057536326E-4                              29485.065570428105                                0.0021698672958171458
10.70733178016296+0.030403900644753304i           2.297122319167326E-6                              31977.600793487058                                0.0021698672958171458
10.7105622862778+0.017853979611311948i            2.1234762556918273E-6                             34827.06492277788                                 0.0021698672958171458
10.712969096727743+0.002485099829064041i          7.44362850384221E-6                               37269.93106876058                                 0.0021698672958171458
10.713485523349126+0.02780031560804161i           1.5032726447405556E-6                             36356.87041910378                                 0.0021698672958171458
10.71447064667257+0.031613111055630125i           9.580893434933569E-7                              32074.507410907365                                0.0021698672958171458
10.718527711349283+0.01704121922480971i           3.976218767319798E-7                              35121.80865471505                                 0.0021698672958171458
10.719444512238645+0.028328457005479195i          3.484125783661863E-7                              36447.220255142965                                0.0021698672958171458
10.737528536030952+0.07817378065077751i           5.653455744605168E-6                              31352.516056891865                                0.0021698672958171458
10.760584844343851+0.0056948093776603165i         1.5702637507851173E-4                             14434.96453002895                                 0.0021698672958171458
10.763708434550013+0.016956059664035857i          8.074931096545064E-8                              48286.735182464996                                0.0021698672958171458
