% Model:              n7_d38_R19.5_r7_h300_lrod299_x0.00_rodtilt0.04deg_realistic_cavity.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 20 2024, 11:29
% Table:              Evaluation Group 1 - 
% Eigenfrequency (GHz)                            Form Factor (1)                                   Quality Factor (rad)                              Active Volume (m^3)
10.4649091345707+0.05989285553408369i             2.3925075686749964E-5                             29835.57814944804                                 0.0021670144750175094
10.4676359143536+0.057456986078437515i            2.452939729887891E-6                              29769.348122118547                                0.0021670144750175094
10.479260866906737+0.10998175830018979i           8.227209839306605E-4                              31123.224415866243                                0.0021670144750175094
10.481084713868645+0.012742392730106328i          3.2122509312380415E-7                             36301.23641980906                                 0.0021670144750175094
10.484353503409285+0.11197253204543647i           4.996819052662407E-7                              31061.704497589773                                0.0021670144750175094
10.488201562755512+0.013000702943179976i          1.3544139356228467E-8                             36341.89133022067                                 0.0021670144750175094
10.491849218715666+0.11375997865507292i           7.585380781992334E-4                              30632.52017883482                                 0.0021670144750175094
10.500703411691257+0.0907098234113759i            6.796850518753036E-5                              21628.979651922447                                0.0021670144750175094
10.507803384815313+0.03101453137574122i           2.0738274594514618E-7                             37609.52664924287                                 0.0021670144750175094
10.510037455878257+0.05822241443398408i           7.655383072172556E-4                              27992.939726058827                                0.0021670144750175094
10.52053784235672+0.03156149390040568i            1.059828295923918E-6                              33216.55848390905                                 0.0021670144750175094
10.52360826160955+0.05892546026048199i            4.169121990826572E-5                              25966.470536973076                                0.0021670144750175094
10.52476967557179+0.03152282511053092i            6.791525035688739E-5                              33589.402749169734                                0.0021670144750175094
10.527075472705912+0.07345864680064612i           4.858037032408178E-5                              33833.29391883079                                 0.0021670144750175094
10.527121503197826+0.0765312068052322i            9.638326212868977E-5                              36251.00467645478                                 0.0021670144750175094
10.52973523527524+0.05470023826773013i            4.885681779906766E-6                              32131.182157219253                                0.0021670144750175094
10.530766226045742+0.07816677035846246i           4.902623445723736E-6                              37577.72568904446                                 0.0021670144750175094
10.534929669160817+0.001044186353229546i          1.1131392151078229E-6                             36762.738246301546                                0.0021670144750175094
10.536484651142455+0.11957493518330158i           6.634553809244551E-6                              35883.29293604459                                 0.0021670144750175094
10.541956349700303+0.05150980386872624i           0.005548147726231044                              28481.584072556                                   0.0021670144750175094
10.543091232230195+0.0010027891773908598i         6.459389099265352E-7                              36791.09547420501                                 0.0021670144750175094
10.545499744917361+0.119161283640076i             2.0583053988166623E-6                             36090.74155700412                                 0.0021670144750175094
10.56937633843796+0.0037181735829381938i          3.097108932488536E-7                              36601.170014031384                                0.0021670144750175094
10.57794334284099+0.0037753226401917414i          2.591494466428759E-6                              36630.85550764633                                 0.0021670144750175094
10.587182853496545+0.021621138630583847i          5.800022807802752E-6                              36143.82833780942                                 0.0021670144750175094
10.593138453498817+0.10271314968236656i           9.028722763640517E-7                              35143.95851081518                                 0.0021670144750175094
10.594840317626916+0.021329239273063887i          4.038952320741516E-6                              36161.271203788354                                0.0021670144750175094
10.597685873481984+0.001138537221651003i          4.1844623866701105E-5                             53370.29925791146                                 0.0021670144750175094
10.59949898316164+0.09760525819435618i            1.7860664337714688E-4                             34506.72320159092                                 0.0021670144750175094
10.600519283584612+0.0011094425345617026i         0.4487325540745457                                15719.572673675359                                0.0021670144750175094
10.60080848697836+0.07219218788142229i            1.8885873772220356E-6                             22513.510817869068                                0.0021670144750175094
10.61613485705018+0.06620359745490083i            5.082761956262275E-5                              33647.95410495531                                 0.0021670144750175094
10.619643729557124+0.15357429115863327i           1.4610613895533138E-5                             33619.44665347153                                 0.0021670144750175094
10.622655816348837+0.06605039154290801i           9.463488587593037E-7                              33970.074184320074                                0.0021670144750175094
10.622927178090189+0.1591866405618096i            4.1049120382773975E-6                             33622.24866210763                                 0.0021670144750175094
10.62796200646745+0.00836708998186406i            1.3054030366410496E-5                             36258.34085512644                                 0.0021670144750175094
10.629736369932552+0.0024366388307154414i         8.350987446956982E-5                              15934.363878524913                                0.0021670144750175094
10.630889983544982+0.1002279978797062i            8.567280529182838E-6                              31882.53207893852                                 0.0021670144750175094
10.63120378697546+0.004182333394893356i           4.55598467133525E-7                               52892.774743013375                                0.0021670144750175094
10.6330282030663+0.10506341479633861i             5.030424772571162E-6                              31553.734129957804                                0.0021670144750175094
10.635838515682043+0.008180665603442843i          2.8252717641586105E-7                             36376.78023431172                                 0.0021670144750175094
10.636149505654359+0.07353304433921107i           1.388118675793574E-6                              32267.479556868348                                0.0021670144750175094
10.657112856717797+0.03613042495336792i           1.4705792571946715E-7                             38719.51637377025                                 0.0021670144750175094
10.678833401966987+7.537455229450822E-4i          9.275372117793123E-5                              37274.97048695528                                 0.0021670144750175094
10.68424801183281+0.0037562523459643365i          0.04106987685727283                               16141.30704139492                                 0.0021670144750175094
10.687029995102137+0.009303828716838465i          1.942439626198923E-6                              52275.88551414148                                 0.0021670144750175094
10.68952392035872+0.05443591586885635i            1.4653938394673722E-4                             26599.647085405046                                0.0021670144750175094
10.689770378921944+0.06054936928187278i           1.6318486977209817E-6                             27211.751299918433                                0.0021670144750175094
10.692790185436705+0.06121292470875224i           2.0697525074038318E-4                             26903.51225751463                                 0.0021670144750175094
10.696331010128437+0.1270344441205127i            2.84515184827355E-4                               30098.1529409673                                  0.0021670144750175094
10.708264719716016+0.029574486094749747i          2.378008904023426E-5                              32313.407617189154                                0.0021670144750175094
10.710408880673889+0.018485070395174018i          8.547958557062262E-6                              34729.4332974848                                  0.0021670144750175094
10.71277911469487+0.002496480848816764i           1.699458593487395E-5                              37237.80997150542                                 0.0021670144750175094
10.7147897804786+0.02827645138050676i             2.0626034575252233E-5                             35860.05750350093                                 0.0021670144750175094
10.71646854683393+0.030973197777058058i           1.085514486811871E-5                              32626.27780394676                                 0.0021670144750175094
10.717154797299974+0.01851593846560671i           2.305325675404023E-6                              34926.821639887974                                0.0021670144750175094
10.720238600424684+0.028300886035441147i          2.2608479084069207E-7                             36338.30689696                                    0.0021670144750175094
10.73547733640839+0.06501635608893878i            2.9090180917822224E-4                             29726.6533519785                                  0.0021670144750175094
10.75746793437078+0.008448205960915939i           7.535147861635215E-5                              16935.54906342643                                 0.0021670144750175094
10.7636826187986+0.0165775900462718i              1.4444137255317765E-7                             51443.43256735194                                 0.0021670144750175094
