% Model:              n1_R19.5_d38_r7.04.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 21 2024, 17:33
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
1.2845454032649195E-6-2.2826620058917795E-6i      6.894578405868638E-26                             2.250102237507198E10                              0.0010388910890524183
1.3306740578364108E-6+2.0465424310707295E-6i      9.327482732203711E-26                             3.9719993203614635E9                              0.0010388910890524183
1.3944648384769728E-6+1.694562543393392E-6i       6.582736680317762E-26                             4.896222009347734E9                               0.0010388910890524183
2.630062891346906E-6+2.5777931668249474E-8i       4.7955738681904597E-26                            1.1809568658254885E10                             0.0010388910890524183
2.2916982097934036E-5+2.8967075282633184E-5i      2.9760213387582945E-21                            7408399.257648904                                 0.0010388910890524183
3.688194868894954+6.813549541099674E-5i           3.312475503877537E-32                             28910.831548567767                                0.0010388910890524183
3.688194214277991+6.813552446020137E-5i           9.662340680135281E-33                             28910.814865136883                                0.0010388910890524183
7.089899805359149+1.1004594712417917E-4i          3.255019412853198E-33                             32435.80975826799                                 0.0010388910890524183
7.089919589885988+1.100465645738158E-4i           1.6647470861945445E-33                            32435.714813317176                                0.0010388910890524183
10.14226427492336+1.5143968719583513E-4i          6.348871108868025E-33                             33492.51750797286                                 0.0010388910890524183
10.142270657458207+1.5144052387128197E-4i         2.972509479860785E-33                             33492.35345979642                                 0.0010388910890524183
11.882391775292493+2.613793588676383E-4i          0.8016895889051331                                22729.664270269728                                0.0010388910890524183
12.463531223033234+2.4092620274370155E-4i         5.209782932788259E-31                             25865.09855451604                                 0.0010388910890524183
12.464348966061786+2.4102886557080604E-4i         4.946450793195669E-10                             25855.7768304546                                  0.0010388910890524183
12.464376960347055+2.410329714068863E-4i          3.0816763560047635E-9                             25855.394423254842                                0.0010388910890524183
12.968678637645828+1.941761861911514E-4i          7.376642127617365E-33                             33391.778786060815                                0.0010388910890524183
12.968737720679812+1.941780841844796E-4i          6.393164829179933E-33                             33391.60425413777                                 0.0010388910890524183
13.24906159433332+2.4163843051777122E-4i          3.001376382942615E-33                             27411.77063911264                                 0.0010388910890524183
13.249086247867165+2.4164004991682834E-4i         3.5723442978431846E-33                            27411.637801892                                   0.0010388910890524183
14.041426308353518+1.982669840449554E-4i          1.787328827318492E-10                             35397.45023860419                                 0.0010388910890524183
14.041553342883505+1.9828402572591016E-4i         3.751456191887969E-11                             35394.72616800529                                 0.0010388910890524183
