% Model:              n19_R19.5_d38_r7_ideal.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 16 2024, 08:00
% Table:              Table 1 - Global Evaluation 1
% Eigenfrequency (GHz)                            C (1)                                             Q (rad)                                           A (m^2)
9.327814085487109+9.237197701757255E-5i           3.550555224824809E-32                             50493.90085795673                                 0.019526136140747413
9.372937120333926+9.16868755495702E-5i            2.0594188823345633E-32                            51116.798045341784                                0.019526136140747413
9.372956094791755+9.169879252353206E-5i           1.0469230134587951E-31                            51110.258221365155                                0.019526136140747413
10.04973020322527+1.380811557886434E-4i           5.303025908737277E-31                             36390.2553300212                                  0.019526136140747413
10.157438427849176+1.3924018884463275E-4i         1.5047777061820004E-32                            36474.05081118825                                 0.019526136140747413
10.157447967103028+1.3924117485564967E-4i         7.528798652261922E-34                             36473.82677458538                                 0.019526136140747413
10.297376716232739+1.4014784227173562E-4i         1.7458164186866663E-32                            36737.05219468801                                 0.019526136140747413
10.297581348528224+1.4014218692209434E-4i         6.957123332971855E-33                             36739.264790304886                                0.019526136140747413
10.406340488268969+1.4141092052751756E-4i         6.991894511702348E-34                             36794.184778273724                                0.019526136140747413
10.430307126610952+1.3591435568160074E-4i         9.843101597525591E-31                             38370.380911668864                                0.019526136140747413
10.46112039450084+4.190624039007078E-4i           0.5743532084897652                                12481.078136560342                                0.019526136140747413
10.52363477461618+1.3845752210175726E-4i          1.3860680952053402E-31                            38002.61287777859                                 0.019526136140747413
10.547844039474047+4.1128592080610476E-4i         6.221004454719663E-7                              12822.504195537844                                0.019526136140747413
10.549436619906174+4.1249870344463926E-4i         1.9069276801265462E-7                             12786.733762583173                                0.019526136140747413
10.613337393980949+1.3937081990733372E-4i         1.3671878736439275E-32                            38075.374834541246                                0.019526136140747413
10.613551308878224+1.3936581839080442E-4i         6.759317289635332E-32                             38077.5086870691                                  0.019526136140747413
10.625352064702703+1.3765043527715542E-4i         7.426820845391018E-33                             38594.89360797151                                 0.019526136140747413
10.625822534424158+1.3762428709863272E-4i         9.132708258718357E-32                             38603.93571358476                                 0.019526136140747413
10.659648673467178+4.0311763051429977E-4i         1.998831906755151E-6                              13220.998828334792                                0.019526136140747413
10.660524600842939+4.0365972643632164E-4i         6.156519998783088E-6                              13204.327835964103                                0.019526136140747413
10.698156603934358+4.0124480792075263E-4i         0.10556938633646744                               13330.68969555345                                 0.019526136140747413
10.73960844221361+1.3916196225404457E-4i          5.681820369740677E-30                             38586.142865725444                                0.019526136140747413
10.754222695539706+9.921428549574329E-5i          2.0235483194573557E-30                            54196.317767592445                                0.019526136140747413
10.775017673414675+3.942437819679771E-4i          2.6986067703500534E-6                             13664.886428433903                                0.019526136140747413
10.802441592584293+1.3532942414125568E-4i         5.692296327618783E-32                             39911.0127569459                                  0.019526136140747413
10.80330848526825+1.3530120971102106E-4i          2.427715272086307E-31                             39922.53819467364                                 0.019526136140747413
10.809400671379425+3.9481229257582677E-4i         9.423199677489474E-8                              13688.74083881426                                 0.019526136140747413
10.860219037189047+3.914769432498543E-4i          7.657138619649162E-11                             13870.256740193805                                0.019526136140747413
10.861315146800754+3.922517101666004E-4i          2.479964334921936E-7                              13844.256218063938                                0.019526136140747413
10.881362640755341+1.0472030280881451E-4i         1.3891498400968874E-31                            51953.60169233336                                 0.019526136140747413
10.881518383955058+1.0471812616411145E-4i         5.967655940746322E-32                             51955.424931344394                                0.019526136140747413
10.912056374432192+1.326203811645432E-4i          1.28338885827925E-32                              41139.40291915626                                 0.019526136140747413
10.912356965938049+1.3262469971257648E-4i         6.997109155886812E-33                             41139.19604358993                                 0.019526136140747413
10.931523057921101+3.8595357758971073E-4i         6.207349679277893E-7                              14161.095211242047                                0.019526136140747413
10.93260505093727+3.866562516732378E-4i           2.0329707776222012E-6                             14136.757694082786                                0.019526136140747413
11.002212952342735+1.0212594278046198E-4i         1.1432635330360289E-32                            53864.79271621458                                 0.019526136140747413
11.006629525479761+1.3208873108291137E-4i         1.2012623048872023E-30                            41662.78686028666                                 0.019526136140747413
11.024886754057329+1.3194922431638924E-4i         5.37569604225447E-31                              41775.97419459538                                 0.019526136140747413
11.073222262202261+1.1316332219658488E-4i         1.4746293439697001E-30                            48924.57163327896                                 0.019526136140747413
11.073290698031371+1.1315083311288501E-4i         2.6029318550084745E-31                            48930.27393889604                                 0.019526136140747413
11.123918250618367+3.6845967098760745E-4i         3.1636678209945087E-7                             15094.3685932917                                  0.019526136140747413
11.124290339183752+3.689719982762899E-4i          5.933655625755688E-8                              15073.912742039247                                0.019526136140747413
11.13730592747193+3.5237841662180783E-4i          7.207899210918077E-10                             15802.221648649122                                0.019526136140747413
11.13795503409323+3.531665790007148E-4i           3.2764809388463058E-6                             15767.872813747439                                0.019526136140747413
11.172752176421724+3.453806015826292E-4i          0.04657116146042474                               16173.667899556345                                0.019526136140747413
11.233356254062267+3.698065491353453E-4i          5.177457253559432E-8                              15187.203935916412                                0.019526136140747413
11.301299199652258+3.5646283548297836E-4i         1.5689972094076635E-7                             15850.914390744225                                0.019526136140747413
11.340096350004927+3.4749031602817406E-4i         2.6487890918586676E-7                             16315.956399924453                                0.019526136140747413
11.340899424912939+3.4793029314066846E-4i         3.7418699625796674E-7                             16296.475667033132                                0.019526136140747413
11.345594117713368+9.462794812550136E-5i          2.658838587135863E-31                             59945.37845382961                                 0.019526136140747413
11.353393680619428+3.1546679743102294E-4i         3.380861027170938E-9                              17993.308360811807                                0.019526136140747413
11.395307438784577+9.53609946857493E-5i           3.978086181599867E-31                             59744.80979007143                                 0.019526136140747413
11.395387414632028+9.533714420126287E-5i          1.3610884119962833E-30                            59760.174995932335                                0.019526136140747413
11.461184186410074+3.0791041407538726E-4i         0.0019907270142241647                             18609.623868754144                                0.019526136140747413
11.48019577202334+3.275246007155097E-4i           8.961549258379689E-7                              17524.101605787437                                0.019526136140747413
11.481565819461599+3.284055022053958E-4i          5.465575150781193E-7                              17479.176082909846                                0.019526136140747413
11.510669376099578+1.1105133370354909E-4i         3.7284617501843077E-31                            51821.876213562195                                0.019526136140747413
11.51083739931057+1.110428338825727E-4i           5.693690195939563E-30                             51826.597960518164                                0.019526136140747413
